,EDA,timestamp,period,time_seconds
0,0.0,10:28:57,in-test,0.0
1,0.005125,10:28:57,in-test,0.25
2,0.020501,10:28:57,in-test,0.5
3,0.021783,10:28:57,in-test,0.75
4,0.023064,10:28:58,in-test,1.0
5,0.024345,10:28:58,in-test,1.25
6,0.023064,10:28:58,in-test,1.5
7,0.021783,10:28:58,in-test,1.75
8,0.023064,10:28:59,in-test,2.0
9,0.024345,10:28:59,in-test,2.25
10,0.024345,10:28:59,in-test,2.5
11,0.023064,10:28:59,in-test,2.75
12,0.023064,10:29:00,in-test,3.0
13,0.024345,10:29:00,in-test,3.25
14,0.023064,10:29:00,in-test,3.5
15,0.023064,10:29:00,in-test,3.75
16,0.021783,10:29:01,in-test,4.0
17,0.024345,10:29:01,in-test,4.25
18,0.024345,10:29:01,in-test,4.5
19,0.024345,10:29:01,in-test,4.75
20,0.023064,10:29:02,in-test,5.0
21,0.024345,10:29:02,in-test,5.25
22,0.024345,10:29:02,in-test,5.5
23,0.024345,10:29:02,in-test,5.75
24,0.023064,10:29:03,in-test,6.0
25,0.024345,10:29:03,in-test,6.25
26,0.024345,10:29:03,in-test,6.5
27,0.024345,10:29:03,in-test,6.75
28,0.025627,10:29:04,in-test,7.0
29,0.021783,10:29:04,in-test,7.25
30,0.023064,10:29:04,in-test,7.5
31,0.024345,10:29:04,in-test,7.75
32,0.024345,10:29:05,in-test,8.0
33,0.021783,10:29:05,in-test,8.25
34,0.023064,10:29:05,in-test,8.5
35,0.024345,10:29:05,in-test,8.75
36,0.024345,10:29:06,in-test,9.0
37,0.024345,10:29:06,in-test,9.25
38,0.023064,10:29:06,in-test,9.5
39,0.023064,10:29:06,in-test,9.75
40,0.024345,10:29:07,in-test,10.0
41,0.023064,10:29:07,in-test,10.25
42,0.024345,10:29:07,in-test,10.5
43,0.023064,10:29:07,in-test,10.75
44,0.023064,10:29:08,in-test,11.0
45,0.023064,10:29:08,in-test,11.25
46,0.024345,10:29:08,in-test,11.5
47,0.023064,10:29:08,in-test,11.75
48,0.023064,10:29:09,in-test,12.0
49,0.021783,10:29:09,in-test,12.25
50,0.024345,10:29:09,in-test,12.5
51,0.024345,10:29:09,in-test,12.75
52,0.024345,10:29:10,in-test,13.0
53,0.021783,10:29:10,in-test,13.25
54,0.021783,10:29:10,in-test,13.5
55,0.024345,10:29:10,in-test,13.75
56,0.024345,10:29:11,in-test,14.0
57,0.024345,10:29:11,in-test,14.25
58,0.023064,10:29:11,in-test,14.5
59,0.021783,10:29:11,in-test,14.75
60,0.024345,10:29:12,in-test,15.0
61,0.025627,10:29:12,in-test,15.25
62,0.023064,10:29:12,in-test,15.5
63,0.023064,10:29:12,in-test,15.75
64,0.023064,10:29:13,in-test,16.0
65,0.024345,10:29:13,in-test,16.25
66,0.024345,10:29:13,in-test,16.5
67,0.024345,10:29:13,in-test,16.75
68,0.023064,10:29:14,in-test,17.0
69,0.024345,10:29:14,in-test,17.25
70,0.024345,10:29:14,in-test,17.5
71,0.024345,10:29:14,in-test,17.75
72,0.023064,10:29:15,in-test,18.0
73,0.021783,10:29:15,in-test,18.25
74,0.023064,10:29:15,in-test,18.5
75,0.024345,10:29:15,in-test,18.75
76,0.024345,10:29:16,in-test,19.0
77,0.023064,10:29:16,in-test,19.25
78,0.023064,10:29:16,in-test,19.5
79,0.024345,10:29:16,in-test,19.75
80,0.024345,10:29:17,in-test,20.0
81,0.024345,10:29:17,in-test,20.25
82,0.020501,10:29:17,in-test,20.5
83,0.023064,10:29:17,in-test,20.75
84,0.024345,10:29:18,in-test,21.0
85,0.024345,10:29:18,in-test,21.25
86,0.024345,10:29:18,in-test,21.5
87,0.021783,10:29:18,in-test,21.75
88,0.023064,10:29:19,in-test,22.0
89,0.024345,10:29:19,in-test,22.25
90,0.023064,10:29:19,in-test,22.5
91,0.023064,10:29:19,in-test,22.75
92,0.023064,10:29:20,in-test,23.0
93,0.025627,10:29:20,in-test,23.25
94,0.024345,10:29:20,in-test,23.5
95,0.021783,10:29:20,in-test,23.75
96,0.023064,10:29:21,in-test,24.0
97,0.024345,10:29:21,in-test,24.25
98,0.023064,10:29:21,in-test,24.5
99,0.023064,10:29:21,in-test,24.75
100,0.024345,10:29:22,in-test,25.0
101,0.024345,10:29:22,in-test,25.25
102,0.024345,10:29:22,in-test,25.5
103,0.021783,10:29:22,in-test,25.75
104,0.025627,10:29:23,in-test,26.0
105,0.024345,10:29:23,in-test,26.25
106,0.024345,10:29:23,in-test,26.5
107,0.024345,10:29:23,in-test,26.75
