,HR,timestamp,period,time_seconds
0,110.0,07:56:58,pre-test,0
1,83.5,07:56:59,pre-test,1
2,92.67,07:57:00,pre-test,2
3,84.0,07:57:01,pre-test,3
4,92.8,07:57:02,pre-test,4
5,107.67,07:57:03,pre-test,5
6,118.57,07:57:04,pre-test,6
7,127.0,07:57:05,pre-test,7
8,133.56,07:57:06,pre-test,8
9,138.5,07:57:07,pre-test,9
10,142.55,07:57:08,pre-test,10
11,145.92,07:57:09,pre-test,11
12,148.15,07:57:10,pre-test,12
13,150.0,07:57:11,pre-test,13
14,151.67,07:57:12,pre-test,14
15,153.25,07:57:13,pre-test,15
16,154.65,07:57:14,pre-test,16
17,156.06,07:57:15,pre-test,17
18,157.26,07:57:16,pre-test,18
19,158.35,07:57:17,pre-test,19
20,159.33,07:57:18,pre-test,20
21,160.27,07:57:19,pre-test,21
22,160.61,07:57:20,pre-test,22
23,160.83,07:57:21,pre-test,23
24,161.04,07:57:22,pre-test,24
25,161.27,07:57:23,pre-test,25
26,161.48,07:57:24,pre-test,26
27,161.64,07:57:25,pre-test,27
28,161.76,07:57:26,pre-test,28
29,161.9,07:57:27,pre-test,29
30,162.0,07:57:28,pre-test,30
31,162.09,07:57:29,pre-test,31
32,162.21,07:57:30,pre-test,32
33,162.32,07:57:31,pre-test,33
34,162.6,07:57:32,pre-test,34
35,162.78,07:57:33,pre-test,35
36,162.89,07:57:34,pre-test,36
37,163.0,07:57:35,pre-test,37
38,163.05,07:57:36,pre-test,38
39,163.07,07:57:37,pre-test,39
40,163.05,07:57:38,pre-test,40
41,163.02,07:57:39,pre-test,41
42,162.91,07:57:40,pre-test,42
43,162.77,07:57:41,pre-test,43
44,162.69,07:57:42,pre-test,44
45,162.63,07:57:43,pre-test,45
46,162.57,07:57:44,pre-test,46
47,162.5,07:57:45,pre-test,47
48,162.45,07:57:46,pre-test,48
49,162.44,07:57:47,pre-test,49
50,162.43,07:57:48,pre-test,50
51,162.46,07:57:49,pre-test,51
52,162.51,07:57:50,pre-test,52
53,162.54,07:57:51,pre-test,53
54,162.6,07:57:52,pre-test,54
55,162.7,07:57:53,pre-test,55
56,162.77,07:57:54,pre-test,56
57,162.83,07:57:55,pre-test,57
58,162.92,07:57:56,pre-test,58
59,163.02,07:57:57,pre-test,59
60,164.03,07:57:58,pre-test,60
61,165.97,07:57:59,pre-test,61
62,167.02,07:58:00,pre-test,62
63,168.9,07:58:01,pre-test,63
64,169.65,07:58:02,pre-test,64
65,169.52,07:58:03,pre-test,65
66,169.35,07:58:04,pre-test,66
67,169.15,07:58:05,pre-test,67
68,168.97,07:58:06,pre-test,68
69,168.87,07:58:07,pre-test,69
70,168.82,07:58:08,pre-test,70
71,168.77,07:58:09,pre-test,71
72,168.85,07:58:10,pre-test,72
73,169.1,07:58:11,pre-test,73
74,169.4,07:58:12,pre-test,74
75,169.62,07:58:13,pre-test,75
76,169.85,07:58:14,pre-test,76
77,170.03,07:58:15,pre-test,77
78,170.27,07:58:16,pre-test,78
79,170.5,07:58:17,pre-test,79
80,170.78,07:58:18,pre-test,80
81,171.2,07:58:19,pre-test,81
82,171.37,07:58:20,pre-test,82
83,171.53,07:58:21,pre-test,83
84,171.73,07:58:22,pre-test,84
85,171.95,07:58:23,pre-test,85
86,172.15,07:58:24,pre-test,86
87,172.15,07:58:25,pre-test,87
88,172.2,07:58:26,pre-test,88
89,172.2,07:58:27,pre-test,89
90,172.52,07:58:28,pre-test,90
91,172.83,07:58:29,pre-test,91
92,173.12,07:58:30,pre-test,92
93,173.42,07:58:31,pre-test,93
94,173.6,07:58:32,pre-test,94
95,174.05,07:58:33,pre-test,95
96,174.5,07:58:34,pre-test,96
97,174.92,07:58:35,pre-test,97
98,175.35,07:58:36,pre-test,98
99,175.75,07:58:37,pre-test,99
100,176.05,07:58:38,pre-test,100
101,176.37,07:58:39,pre-test,101
102,176.75,07:58:40,pre-test,102
103,177.2,07:58:41,pre-test,103
104,177.62,07:58:42,pre-test,104
105,178.05,07:58:43,pre-test,105
106,178.47,07:58:44,pre-test,106
107,178.95,07:58:45,pre-test,107
108,179.45,07:58:46,pre-test,108
109,179.75,07:58:47,pre-test,109
110,180.07,07:58:48,pre-test,110
111,180.3,07:58:49,pre-test,111
112,180.48,07:58:50,pre-test,112
113,180.6,07:58:51,pre-test,113
114,180.73,07:58:52,pre-test,114
115,180.85,07:58:53,pre-test,115
116,181.02,07:58:54,pre-test,116
117,181.15,07:58:55,pre-test,117
118,181.33,07:58:56,pre-test,118
119,181.52,07:58:57,pre-test,119
120,181.62,07:58:58,pre-test,120
121,181.85,07:58:59,pre-test,121
122,182.03,07:59:00,pre-test,122
123,182.25,07:59:01,pre-test,123
124,182.45,07:59:02,pre-test,124
125,182.67,07:59:03,pre-test,125
126,182.9,07:59:04,pre-test,126
127,183.15,07:59:05,pre-test,127
128,183.55,07:59:06,pre-test,128
129,183.9,07:59:07,pre-test,129
130,184.15,07:59:08,pre-test,130
131,184.4,07:59:09,pre-test,131
132,184.65,07:59:10,pre-test,132
133,184.73,07:59:11,pre-test,133
134,184.73,07:59:12,pre-test,134
135,184.75,07:59:13,pre-test,135
136,184.77,07:59:14,pre-test,136
137,184.78,07:59:15,pre-test,137
138,184.78,07:59:16,pre-test,138
139,184.77,07:59:17,pre-test,139
140,184.72,07:59:18,pre-test,140
141,184.53,07:59:19,pre-test,141
142,184.82,07:59:20,pre-test,142
143,185.13,07:59:21,pre-test,143
144,185.42,07:59:22,pre-test,144
145,185.7,07:59:23,pre-test,145
146,186.05,07:59:24,pre-test,146
147,186.6,07:59:25,pre-test,147
148,187.1,07:59:26,pre-test,148
149,187.6,07:59:27,pre-test,149
150,187.8,07:59:28,pre-test,150
151,188.03,07:59:29,pre-test,151
152,188.32,07:59:30,pre-test,152
153,188.57,07:59:31,pre-test,153
154,188.8,07:59:32,pre-test,154
155,188.87,07:59:33,pre-test,155
156,188.97,07:59:34,pre-test,156
157,189.12,07:59:35,pre-test,157
158,189.25,07:59:36,pre-test,158
159,189.2,07:59:37,pre-test,159
160,189.3,07:59:38,pre-test,160
161,189.35,07:59:39,pre-test,161
162,189.4,07:59:40,pre-test,162
163,189.37,07:59:41,pre-test,163
164,189.35,07:59:42,pre-test,164
165,189.27,07:59:43,pre-test,165
166,189.2,07:59:44,pre-test,166
167,189.08,07:59:45,pre-test,167
168,188.93,07:59:46,pre-test,168
169,188.97,07:59:47,pre-test,169
170,189.02,07:59:48,pre-test,170
171,189.13,07:59:49,pre-test,171
172,189.27,07:59:50,pre-test,172
173,189.53,07:59:51,pre-test,173
174,189.78,07:59:52,pre-test,174
175,190.03,07:59:53,pre-test,175
176,190.25,07:59:54,pre-test,176
177,190.52,07:59:55,pre-test,177
178,190.72,07:59:56,pre-test,178
179,190.9,07:59:57,pre-test,179
180,191.13,07:59:58,pre-test,180
181,191.2,07:59:59,pre-test,181
182,191.28,08:00:00,pre-test,182
183,191.38,08:00:01,pre-test,183
184,191.5,08:00:02,pre-test,184
185,191.58,08:00:03,pre-test,185
186,191.62,08:00:04,pre-test,186
187,191.63,08:00:05,pre-test,187
188,191.48,08:00:06,pre-test,188
189,191.67,08:00:07,pre-test,189
190,191.88,08:00:08,pre-test,190
191,192.13,08:00:09,pre-test,191
192,192.38,08:00:10,pre-test,192
193,192.62,08:00:11,pre-test,193
194,192.85,08:00:12,pre-test,194
195,193.13,08:00:13,pre-test,195
196,193.37,08:00:14,pre-test,196
197,193.57,08:00:15,pre-test,197
198,193.77,08:00:16,pre-test,198
199,193.97,08:00:17,pre-test,199
200,194.15,08:00:18,pre-test,200
201,194.3,08:00:19,pre-test,201
202,194.38,08:00:20,pre-test,202
203,194.45,08:00:21,pre-test,203
204,194.67,08:00:22,pre-test,204
205,194.85,08:00:23,pre-test,205
206,195.03,08:00:24,pre-test,206
207,195.27,08:00:25,pre-test,207
208,195.5,08:00:26,pre-test,208
209,195.75,08:00:27,pre-test,209
210,195.8,08:00:28,pre-test,210
211,195.82,08:00:29,pre-test,211
212,195.6,08:00:30,pre-test,212
213,195.38,08:00:31,pre-test,213
214,195.2,08:00:32,pre-test,214
215,194.93,08:00:33,pre-test,215
216,194.62,08:00:34,pre-test,216
217,194.3,08:00:35,pre-test,217
218,194.0,08:00:36,pre-test,218
219,193.92,08:00:37,pre-test,219
220,193.82,08:00:38,pre-test,220
221,193.78,08:00:39,pre-test,221
222,193.78,08:00:40,pre-test,222
223,193.72,08:00:41,pre-test,223
224,193.63,08:00:42,pre-test,224
225,193.78,08:00:43,pre-test,225
226,193.93,08:00:44,pre-test,226
227,194.08,08:00:45,pre-test,227
228,194.25,08:00:46,pre-test,228
229,194.42,08:00:47,pre-test,229
230,194.55,08:00:48,pre-test,230
231,194.68,08:00:49,pre-test,231
232,194.98,08:00:50,pre-test,232
233,195.2,08:00:51,pre-test,233
234,195.33,08:00:52,pre-test,234
235,195.52,08:00:53,pre-test,235
236,195.68,08:00:54,pre-test,236
237,195.87,08:00:55,pre-test,237
238,196.03,08:00:56,pre-test,238
239,196.25,08:00:57,pre-test,239
240,196.45,08:00:58,pre-test,240
241,196.58,08:00:59,pre-test,241
242,196.67,08:01:00,pre-test,242
243,196.75,08:01:01,pre-test,243
244,196.8,08:01:02,pre-test,244
245,196.75,08:01:03,pre-test,245
246,196.78,08:01:04,pre-test,246
247,196.83,08:01:05,pre-test,247
248,196.88,08:01:06,pre-test,248
249,196.62,08:01:07,pre-test,249
250,196.37,08:01:08,pre-test,250
