,HR,timestamp,period,time_seconds
0,106.0,10:29:12,in-test,0
1,97.5,10:29:13,in-test,1
2,100.0,10:29:14,in-test,2
3,94.75,10:29:15,in-test,3
4,100.4,10:29:16,in-test,4
5,96.33,10:29:17,in-test,5
6,101.14,10:29:18,in-test,6
7,102.62,10:29:19,in-test,7
8,100.78,10:29:20,in-test,8
9,104.2,10:29:21,in-test,9
10,101.36,10:29:22,in-test,10
11,104.58,10:29:23,in-test,11
12,102.0,10:29:24,in-test,12
13,104.93,10:29:25,in-test,13
14,109.2,10:29:26,in-test,14
15,112.94,10:29:27,in-test,15
16,116.18,10:29:28,in-test,16
17,119.0,10:29:29,in-test,17
18,121.47,10:29:30,in-test,18
19,118.9,10:29:31,in-test,19
20,116.14,10:29:32,in-test,20
21,113.5,10:29:33,in-test,21
22,111.17,10:29:34,in-test,22
23,109.08,10:29:35,in-test,23
24,107.2,10:29:36,in-test,24
25,105.69,10:29:37,in-test,25
26,104.3,10:29:38,in-test,26
27,103.0,10:29:39,in-test,27
28,101.76,10:29:40,in-test,28
29,100.6,10:29:41,in-test,29
30,99.81,10:29:42,in-test,30
31,99.06,10:29:43,in-test,31
32,98.33,10:29:44,in-test,32
33,97.68,10:29:45,in-test,33
34,97.06,10:29:46,in-test,34
35,96.5,10:29:47,in-test,35
36,96.0,10:29:48,in-test,36
37,95.53,10:29:49,in-test,37
38,95.1,10:29:50,in-test,38
39,94.78,10:29:51,in-test,39
40,94.56,10:29:52,in-test,40
41,94.33,10:29:53,in-test,41
42,94.16,10:29:54,in-test,42
43,93.75,10:29:55,in-test,43
44,93.33,10:29:56,in-test,44
45,92.89,10:29:57,in-test,45
46,92.51,10:29:58,in-test,46
47,92.1,10:29:59,in-test,47
48,91.73,10:30:00,in-test,48
49,91.4,10:30:01,in-test,49
50,91.16,10:30:02,in-test,50
51,90.94,10:30:03,in-test,51
52,90.79,10:30:04,in-test,52
53,90.57,10:30:05,in-test,53
54,90.36,10:30:06,in-test,54
55,90.14,10:30:07,in-test,55
56,89.84,10:30:08,in-test,56
57,89.53,10:30:09,in-test,57
58,89.24,10:30:10,in-test,58
59,88.93,10:30:11,in-test,59
60,88.37,10:30:12,in-test,60
61,88.12,10:30:13,in-test,61
62,87.6,10:30:14,in-test,62
63,87.58,10:30:15,in-test,63
64,86.85,10:30:16,in-test,64
65,86.9,10:30:17,in-test,65
66,86.03,10:30:18,in-test,66
67,85.5,10:30:19,in-test,67
68,85.43,10:30:20,in-test,68
69,84.55,10:30:21,in-test,69
70,84.72,10:30:22,in-test,70
71,83.68,10:30:23,in-test,71
72,83.8,10:30:24,in-test,72
73,82.73,10:30:25,in-test,73
74,81.23,10:30:26,in-test,74
75,79.73,10:30:27,in-test,75
76,78.23,10:30:28,in-test,76
77,76.68,10:30:29,in-test,77
78,75.17,10:30:30,in-test,78
79,75.22,10:30:31,in-test,79
80,75.48,10:30:32,in-test,80
81,75.75,10:30:33,in-test,81
82,75.97,10:30:34,in-test,82
83,76.17,10:30:35,in-test,83
84,76.33,10:30:36,in-test,84
85,76.42,10:30:37,in-test,85
86,76.55,10:30:38,in-test,86
87,76.7,10:30:39,in-test,87
88,76.85,10:30:40,in-test,88
89,76.98,10:30:41,in-test,89
90,76.93,10:30:42,in-test,90
91,77.03,10:30:43,in-test,91
92,77.15,10:30:44,in-test,92
93,77.3,10:30:45,in-test,93
94,77.45,10:30:46,in-test,94
95,77.6,10:30:47,in-test,95
96,77.73,10:30:48,in-test,96
97,77.83,10:30:49,in-test,97
98,77.9,10:30:50,in-test,98
99,77.93,10:30:51,in-test,99
100,77.78,10:30:52,in-test,100
101,77.67,10:30:53,in-test,101
102,77.53,10:30:54,in-test,102
103,77.6,10:30:55,in-test,103
104,77.68,10:30:56,in-test,104
105,77.8,10:30:57,in-test,105
106,77.88,10:30:58,in-test,106
107,78.02,10:30:59,in-test,107
108,78.1,10:31:00,in-test,108
109,78.18,10:31:01,in-test,109
110,78.25,10:31:02,in-test,110
111,78.3,10:31:03,in-test,111
112,78.32,10:31:04,in-test,112
113,78.23,10:31:05,in-test,113
114,78.13,10:31:06,in-test,114
115,78.05,10:31:07,in-test,115
116,78.08,10:31:08,in-test,116
117,78.13,10:31:09,in-test,117
118,78.23,10:31:10,in-test,118
119,78.37,10:31:11,in-test,119
120,78.47,10:31:12,in-test,120
121,78.52,10:31:13,in-test,121
122,78.55,10:31:14,in-test,122
123,78.48,10:31:15,in-test,123
124,78.4,10:31:16,in-test,124
125,78.38,10:31:17,in-test,125
126,78.52,10:31:18,in-test,126
127,78.67,10:31:19,in-test,127
128,78.77,10:31:20,in-test,128
129,78.92,10:31:21,in-test,129
130,79.0,10:31:22,in-test,130
131,79.18,10:31:23,in-test,131
132,79.38,10:31:24,in-test,132
133,79.55,10:31:25,in-test,133
134,79.68,10:31:26,in-test,134
135,79.85,10:31:27,in-test,135
