EDA,timestamp,period
0.0,08:16:43,pre-test
0.003843,08:16:43,pre-test
0.019214,08:16:43,pre-test
0.019214,08:16:43,pre-test
0.020495,08:16:44,pre-test
0.019214,08:16:44,pre-test
0.019214,08:16:44,pre-test
0.020495,08:16:44,pre-test
0.017933,08:16:45,pre-test
0.017933,08:16:45,pre-test
0.016652,08:16:45,pre-test
0.01409,08:16:45,pre-test
0.01409,08:16:46,pre-test
0.015371,08:16:46,pre-test
0.012809,08:16:46,pre-test
0.012809,08:16:46,pre-test
0.012809,08:16:47,pre-test
0.010248,08:16:47,pre-test
0.008967,08:16:47,pre-test
0.008967,08:16:47,pre-test
0.007686,08:16:48,pre-test
0.006405,08:16:48,pre-test
0.007686,08:16:48,pre-test
0.006405,08:16:48,pre-test
0.005124,08:16:49,pre-test
0.007686,08:16:49,pre-test
0.005124,08:16:49,pre-test
0.003843,08:16:49,pre-test
0.006405,08:16:50,pre-test
0.003843,08:16:50,pre-test
0.003843,08:16:50,pre-test
0.005124,08:16:50,pre-test
0.003843,08:16:51,pre-test
0.003843,08:16:51,pre-test
0.003843,08:16:51,pre-test
0.002562,08:16:51,pre-test
0.005124,08:16:52,pre-test
0.003843,08:16:52,pre-test
0.002562,08:16:52,pre-test
0.003843,08:16:52,pre-test
0.002562,08:16:53,pre-test
0.003843,08:16:53,pre-test
0.003843,08:16:53,pre-test
0.002562,08:16:53,pre-test
0.003843,08:16:54,pre-test
0.003843,08:16:54,pre-test
0.002562,08:16:54,pre-test
0.003843,08:16:54,pre-test
0.003843,08:16:55,pre-test
0.002562,08:16:55,pre-test
0.005124,08:16:55,pre-test
0.002562,08:16:55,pre-test
0.003843,08:16:56,pre-test
0.003843,08:16:56,pre-test
0.001281,08:16:56,pre-test
0.003843,08:16:56,pre-test
0.003843,08:16:57,pre-test
0.001281,08:16:57,pre-test
0.001281,08:16:57,pre-test
0.003843,08:16:57,pre-test
0.001281,08:16:58,pre-test
0.003843,08:16:58,pre-test
0.003843,08:16:58,pre-test
0.002562,08:16:58,pre-test
0.003843,08:16:59,pre-test
0.002562,08:16:59,pre-test
0.001281,08:16:59,pre-test
0.002562,08:16:59,pre-test
0.001281,08:17:00,pre-test
0.003843,08:17:00,pre-test
0.002562,08:17:00,pre-test
0.001281,08:17:00,pre-test
0.002562,08:17:01,pre-test
0.002562,08:17:01,pre-test
0.001281,08:17:01,pre-test
0.001281,08:17:01,pre-test
0.001281,08:17:02,pre-test
0.0,08:17:02,pre-test
0.001281,08:17:02,pre-test
0.002562,08:17:02,pre-test
0.001281,08:17:03,pre-test
0.002562,08:17:03,pre-test
0.001281,08:17:03,pre-test
0.001281,08:17:03,pre-test
0.002562,08:17:04,pre-test
0.002562,08:17:04,pre-test
0.001281,08:17:04,pre-test
0.002562,08:17:04,pre-test
0.003843,08:17:05,pre-test
0.003843,08:17:05,pre-test
0.0,08:17:05,pre-test
0.001281,08:17:05,pre-test
0.0,08:17:06,pre-test
0.002562,08:17:06,pre-test
0.001281,08:17:06,pre-test
0.001281,08:17:06,pre-test
0.002562,08:17:07,pre-test
0.001281,08:17:07,pre-test
0.001281,08:17:07,pre-test
0.002562,08:17:07,pre-test
0.0,08:17:08,pre-test
0.002562,08:17:08,pre-test
0.002562,08:17:08,pre-test
0.001281,08:17:08,pre-test
0.002562,08:17:09,pre-test
0.001281,08:17:09,pre-test
0.003843,08:17:09,pre-test
0.003843,08:17:09,pre-test
0.001281,08:17:10,pre-test
0.001281,08:17:10,pre-test
