time_seconds,HR_min,HR_max
-300,87.1,125.8
-299,87.53,125.32
-298,87.88,123.68
-297,87.92,123.18
-296,87.92,122.6
-295,87.9,122.03
-294,87.85,121.65
-293,87.77,121.12
-292,87.72,120.72
-291,87.7,120.33
-290,87.68,119.92
-289,87.65,119.47
-288,87.63,119.03
-287,87.73,118.57
-286,87.87,118.1
-285,87.88,117.55
-284,87.95,117.3
-283,88.02,117.33
-282,88.05,117.45
-281,88.12,117.58
-280,88.23,117.53
-279,88.05,117.48
-278,87.73,117.48
-277,87.47,117.48
-276,87.18,117.5
-275,86.95,117.72
-274,86.73,117.9
-273,86.5,118.15
-272,86.37,118.17
-271,86.38,118.17
-270,86.42,117.85
-269,86.45,117.53
-268,86.45,117.18
-267,86.3,117.0
-266,86.05,116.83
-265,85.82,116.72
-264,85.58,116.88
-263,85.47,117.08
-262,85.42,117.27
-261,84.92,117.5
-260,84.95,117.7
-259,84.93,117.88
-258,84.93,118.1
-257,84.87,118.33
-256,84.82,118.62
-255,84.75,118.77
-254,83.95,119.25
-253,82.85,120.08
-252,81.82,120.92
-251,80.48,121.32
-250,79.12,121.68
-249,77.72,122.0
-248,76.28,122.38
-247,74.75,122.58
-246,73.2,122.7
-245,71.85,122.77
-244,72.1,122.88
-243,72.38,123.1
-242,72.72,123.27
-241,73.08,123.4
-240,73.35,123.65
-239,73.63,123.93
-238,73.8,124.27
-237,73.93,124.58
-236,73.95,124.93
-235,74.0,125.27
-234,73.98,125.62
-233,73.95,126.03
-232,73.88,126.37
-231,73.83,126.7
-230,73.77,127.0
-229,73.73,126.87
-228,73.67,126.52
-227,73.58,126.13
-226,73.52,125.75
-225,73.5,125.28
-224,73.53,124.72
-223,73.5,124.15
-222,73.47,123.9
-221,73.42,124.17
-220,73.42,124.43
-219,73.45,124.67
-218,73.48,124.93
-217,73.42,125.2
-216,73.35,125.45
-215,73.22,125.82
-214,73.1,126.18
-213,73.02,126.53
-212,72.85,126.85
-211,72.72,126.82
-210,72.55,126.78
-209,72.38,126.77
-208,72.25,126.68
-207,72.13,126.65
-206,72.22,126.68
-205,72.32,126.75
-204,72.42,126.8
-203,72.53,126.82
-202,72.65,126.75
-201,72.8,126.55
-200,72.93,126.37
-199,73.08,126.08
-198,73.22,125.7
-197,73.42,125.37
-196,73.6,124.95
-195,73.82,124.6
-194,74.03,124.32
-193,74.27,123.98
-192,74.48,123.65
-191,74.68,123.32
-190,74.9,122.97
-189,75.13,122.6
-188,75.4,122.15
-187,75.72,121.73
-186,75.97,121.42
-185,76.03,121.05
-184,76.13,120.63
-183,76.18,120.2
-182,76.22,119.75
-181,76.3,119.3
-180,76.45,118.87
-179,76.58,118.37
-178,76.72,117.85
-177,76.87,117.37
-176,76.92,116.88
-175,76.9,116.57
-174,76.98,116.23
-173,77.05,115.88
-172,77.18,115.48
-171,77.32,115.07
-170,77.52,114.62
-169,77.67,114.7
-168,77.78,115.12
-167,77.95,115.62
-166,78.08,116.1
-165,78.22,116.6
-164,78.33,117.1
-163,78.52,117.6
-162,78.7,118.07
-161,78.88,118.53
-160,79.08,118.97
-159,79.25,119.37
-158,79.42,119.8
-157,79.6,120.2
-156,79.78,120.62
-155,79.95,121.03
-154,80.13,121.48
-153,80.32,122.0
-152,80.47,122.53
-151,80.65,123.08
-150,80.85,123.4
-149,81.07,123.72
-148,81.27,124.08
-147,81.48,124.38
-146,81.58,124.68
-145,81.6,125.0
-144,81.63,125.27
-143,81.72,125.5
-142,81.77,125.72
-141,81.82,126.0
-140,81.92,126.28
-139,81.98,126.53
-138,82.1,126.8
-137,82.22,126.93
-136,82.35,127.1
-135,82.47,127.27
-134,82.42,127.43
-133,82.62,127.62
-132,82.53,127.87
-131,82.43,128.08
-130,82.32,128.33
-129,82.23,128.62
-128,82.1,128.9
-127,82.0,129.2
-126,82.0,129.47
-125,81.97,129.83
-124,81.58,130.17
-123,81.28,130.25
-122,80.98,130.33
-121,80.73,130.42
-120,81.15,130.5
-119,80.23,130.58
-118,79.77,130.6
-117,79.28,130.65
-116,78.8,130.75
-115,78.4,130.83
-114,78.05,130.93
-113,77.7,130.98
-112,77.37,131.05
-111,77.03,131.13
-110,76.77,131.25
-109,76.9,131.38
-108,77.05,131.38
-107,77.17,131.28
-106,77.27,131.2
-105,77.33,131.08
-104,77.37,130.93
-103,77.4,130.77
-102,76.9,130.58
-101,76.13,130.33
-100,75.42,130.07
-99,74.7,129.82
-98,74.2,129.53
-97,73.67,129.27
-96,73.13,128.98
-95,72.63,128.72
-94,72.12,128.45
-93,71.65,128.1
-92,71.22,127.77
-91,70.78,127.62
-90,70.58,128.75
-89,70.38,128.98
-88,70.25,129.18
-87,70.12,129.32
-86,69.95,129.47
-85,69.73,129.63
-84,69.87,129.77
