time_seconds,HR_min,HR_max
-300,96.97,161.32
-299,97.2,161.0
-298,96.88,160.68
-297,96.28,160.5
-296,95.72,159.35
-295,95.17,158.22
-294,94.62,157.07
-293,94.23,155.92
-292,94.0,154.78
-291,93.65,153.62
-290,93.4,152.43
-289,93.08,151.22
-288,92.78,150.0
-287,92.38,148.82
-286,91.97,147.6
-285,91.55,146.43
-284,91.38,145.28
-283,91.28,144.2
-282,91.13,143.08
-281,90.97,143.17
-280,90.87,143.28
-279,90.88,143.38
-278,90.9,143.48
-277,90.88,143.53
-276,91.02,143.63
-275,91.1,143.72
-274,91.23,143.73
-273,91.23,143.78
-272,91.22,143.8
-271,91.2,143.8
-270,91.07,143.8
-269,90.77,143.87
-268,90.4,143.95
-267,90.0,144.08
-266,89.58,144.22
-265,89.08,144.32
-264,88.63,144.43
-263,88.2,144.62
-262,87.75,144.7
-261,87.12,144.83
-260,86.48,144.82
-259,85.97,144.88
-258,85.48,144.95
-257,85.02,145.02
-256,84.53,145.02
-255,84.03,145.02
-254,83.52,145.03
-253,83.02,144.95
-252,82.52,144.9
-251,82.03,144.85
-250,81.55,144.78
-249,81.13,144.72
-248,80.77,144.72
-247,80.38,144.72
-246,79.98,144.63
-245,79.6,144.33
-244,79.27,144.25
-243,78.93,143.95
-242,78.67,143.63
-241,78.38,143.35
-240,78.08,143.08
-239,77.65,142.68
-238,77.17,142.27
-237,76.95,142.02
-236,76.88,142.3
-235,76.85,142.83
-234,76.78,143.53
-233,76.73,144.18
-232,76.67,144.72
-231,76.82,145.18
-230,76.92,145.65
-229,77.02,146.0
-228,77.12,146.53
-227,77.23,147.13
-226,77.37,147.73
-225,77.48,148.32
-224,77.62,148.9
-223,77.68,149.5
-222,77.8,150.1
-221,77.92,150.7
-220,77.98,151.27
-219,77.97,151.85
-218,77.93,152.3
-217,77.87,152.78
-216,77.77,153.18
-215,77.67,153.53
-214,77.47,153.63
-213,77.08,153.42
-212,76.65,153.3
-211,76.18,153.22
-210,75.7,153.08
-209,75.52,152.95
-208,75.22,152.7
-207,74.87,152.45
-206,74.5,152.18
-205,74.08,151.87
-204,73.95,151.65
-203,73.95,151.38
-202,74.0,151.08
-201,74.1,150.73
-200,74.12,150.35
-199,74.17,150.0
-198,74.18,149.63
-197,74.22,149.23
-196,74.3,148.8
-195,74.38,148.32
-194,74.45,147.85
-193,74.53,147.32
-192,74.6,146.82
-191,74.68,146.38
-190,74.73,145.92
-189,74.72,145.52
-188,74.7,145.03
-187,74.63,144.5
-186,74.52,144.03
-185,74.4,143.55
-184,74.55,143.02
-183,74.55,142.53
-182,74.57,142.05
-181,74.57,141.6
-180,74.6,141.2
-179,74.7,140.75
-178,74.8,140.3
-177,74.93,139.88
-176,75.02,139.85
-175,75.2,139.73
-174,75.45,139.78
-173,75.73,139.78
-172,76.03,139.75
-171,76.1,139.68
-170,75.92,139.58
-169,75.88,139.43
-168,75.8,138.98
-167,75.68,138.52
-166,75.55,137.88
-165,75.43,137.28
-164,75.2,136.68
-163,75.18,136.07
-162,75.15,135.45
-161,75.13,134.82
-160,75.07,134.2
-159,75.08,133.58
-158,75.1,133.88
-157,75.18,134.68
-156,75.27,134.15
-155,75.35,133.62
-154,75.45,133.1
-153,75.73,132.57
-152,75.88,132.03
-151,76.08,131.5
-150,76.3,131.0
-149,76.52,130.48
-148,76.73,129.97
-147,76.9,129.48
-146,77.05,128.98
-145,77.22,128.53
-144,77.42,128.08
-143,77.58,127.62
-142,77.68,127.23
-141,77.75,126.85
-140,77.85,126.82
-139,77.98,126.8
-138,78.1,126.78
-137,78.05,126.78
-136,78.0,127.02
-135,77.95,127.2
-134,77.93,127.42
-133,77.92,127.57
-132,77.9,127.82
-131,77.88,128.05
-130,77.98,128.32
-129,78.0,128.38
-128,78.0,128.28
-127,78.02,128.0
-126,78.02,127.78
-125,78.07,127.37
-124,78.08,126.98
-123,78.15,126.53
-122,78.25,126.02
-121,78.18,125.42
-120,78.1,124.68
-119,78.05,123.95
-118,77.98,123.22
-117,77.92,122.45
-116,77.87,121.67
-115,77.78,120.87
-114,77.6,120.05
-113,77.38,119.23
-112,77.17,118.42
-111,76.93,117.6
-110,76.68,116.93
-109,76.47,116.9
-108,76.28,116.92
-107,76.13,116.9
-106,75.95,116.87
-105,75.73,116.82
-104,75.55,116.75
-103,75.35,116.68
-102,75.18,116.62
-101,75.03,116.65
-100,74.9,116.7
-99,74.82,116.78
-98,74.92,116.87
-97,75.02,116.98
-96,75.05,117.1
-95,75.07,117.18
-94,75.13,117.22
-93,75.05,117.25
-92,74.95,117.33
-91,74.85,117.37
-90,74.77,117.35
-89,74.68,117.3
-88,74.65,117.17
-87,74.58,117.07
-86,74.48,117.02
-85,74.37,117.05
-84,74.25,117.0
-83,74.13,116.98
-82,74.03,116.98
-81,73.97,117.02
-80,73.88,117.07
-79,73.82,117.12
-78,73.83,117.17
-77,73.9,117.3
-76,73.97,117.33
-75,74.0,117.3
-74,74.02,117.22
-73,73.98,117.12
-72,73.95,117.02
-71,73.9,116.8
-70,73.73,116.58
-69,73.57,116.3
-68,73.63,116.0
-67,73.73,115.72
-66,73.85,115.48
-65,73.97,115.22
-64,74.08,114.83
-63,74.27,114.6
-62,74.47,114.38
-61,74.75,114.18
-60,75.0,113.97
-59,75.13,113.73
-58,75.28,113.47
-57,75.42,113.18
-56,75.53,112.95
-55,75.63,112.73
-54,75.78,112.48
-53,75.98,112.18
-52,76.17,111.85
-51,76.4,111.43
-50,76.6,110.95
-49,76.73,110.52
-48,76.83,110.3
-47,76.97,110.1
-46,77.08,109.97
-45,77.23,109.92
-44,77.18,109.87
-43,76.87,109.83
-42,76.57,109.78
-41,76.28,109.68
-40,76.03,109.55
-39,75.78,109.48
-38,75.52,110.08
-37,75.27,110.72
-36,75.08,111.35
-35,75.08,112.0
-34,75.03,112.63
-33,75.0,113.25
-32,74.97,113.78
-31,74.92,114.28
-30,74.87,114.83
-29,74.87,115.38
-28,74.85,115.93
-27,74.83,115.83
-26,74.97,115.78
-25,75.13,115.88
-24,75.15,115.98
-23,75.18,116.12
-22,75.18,116.42
-21,75.27,117.25
-20,75.42,118.08
-19,75.53,118.93
-18,75.65,119.47
-17,75.85,119.63
-16,76.1,119.7
-15,76.42,119.92
-14,76.73,120.12
-13,77.05,120.27
-12,77.38,120.45
-11,77.7,120.65
-10,77.75,120.88
-9,77.75,121.05
-8,77.75,121.25
-7,77.73,121.45
-6,77.82,121.42
-5,77.78,121.45
-4,77.78,121.33
-3,77.75,121.08
-2,77.75,120.85
-1,77.68,120.63
0,77.62,120.47
1,77.63,120.17
2,77.68,119.98
3,77.8,119.88
4,77.92,118.97
5,78.05,118.1
6,78.13,118.62
7,78.1,119.28
8,77.97,120.15
9,77.52,121.1
10,77.35,122.1
11,77.22,123.07
12,77.07,123.87
13,76.9,124.67
14,76.75,125.45
15,76.58,126.2
16,76.63,127.05
17,76.65,127.9
18,76.92,128.78
19,77.02,129.7
20,77.15,130.65
21,77.32,131.62
22,77.58,132.58
23,77.83,133.52
24,78.22,134.47
25,78.62,135.43
26,78.98,136.42
27,79.05,137.3
28,79.32,138.07
29,79.53,138.8
30,79.78,139.55
31,80.1,140.32
32,80.42,141.1
33,80.4,141.97
34,80.12,142.8
35,79.77,143.6
36,79.52,144.42
37,79.27,145.25
38,79.08,146.15
39,78.92,147.12
40,78.77,148.12
41,78.72,149.12
42,78.68,150.12
43,78.53,151.15
44,78.38,152.18
45,78.22,153.2
46,78.0,154.12
47,77.78,155.13
48,77.55,156.08
49,77.28,157.03
50,77.18,157.73
51,77.15,158.5
52,77.08,159.18
53,77.0,159.88
54,76.88,160.4
55,76.92,160.93
56,76.9,161.5
57,76.88,162.13
58,76.83,162.77
59,76.9,163.43
60,76.95,164.1
61,76.88,164.82
62,76.9,165.5
63,76.95,166.23
64,76.78,167.03
65,76.72,167.78
66,76.85,168.38
67,77.0,168.98
68,77.1,169.42
69,77.18,169.83
70,77.58,170.22
71,77.62,170.62
72,77.57,170.97
73,77.55,171.33
74,77.58,171.68
75,77.55,172.03
76,77.55,172.32
77,77.58,172.57
78,77.65,172.77
79,77.7,172.9
80,77.77,173.03
81,77.82,173.17
82,77.87,173.3
83,77.92,173.48
84,77.93,173.77
85,77.97,174.0
86,78.02,174.23
87,77.92,174.47
88,78.0,174.8
89,78.12,175.08
90,78.08,175.33
91,77.33,175.52
92,76.63,175.33
93,75.92,175.07
94,75.17,174.85
95,74.45,174.65
96,73.77,174.4
97,73.23,174.12
98,72.6,173.78
99,71.93,173.32
100,71.27,172.87
101,70.58,172.43
102,69.95,171.98
103,69.32,171.5
104,68.7,170.8
105,68.1,170.18
106,67.43,169.52
107,66.85,168.82
108,66.1,168.17
109,65.28,167.53
110,64.5,166.87
111,64.08,166.2
112,64.07,165.55
113,64.18,164.88
114,64.45,164.42
115,64.73,163.93
116,64.98,163.42
117,65.2,162.88
118,65.42,162.35
119,65.67,161.82
120,65.9,161.32
121,66.1,160.82
122,66.28,160.4
123,66.48,160.0
124,66.7,159.57
125,66.9,159.22
126,67.35,158.82
127,67.77,158.43
128,68.08,158.05
129,68.4,157.63
130,68.77,157.15
131,68.32,156.68
132,67.63,156.2
133,66.9,155.65
134,66.35,155.1
135,65.78,154.53
136,65.23,153.97
137,64.67,153.4
138,64.48,152.88
139,65.05,152.47
