time_seconds,TEMP_min,TEMP_max
-300.0,21.13,31.05
-299.75,21.13,31.05
-299.5,21.13,31.05
-299.25,21.13,31.05
-299.0,21.29,29.95
-298.75,21.29,29.95
-298.5,21.29,29.95
-298.25,21.29,29.95
-298.0,21.47,29.23
-297.75,21.47,29.23
-297.5,21.47,29.23
-297.25,21.47,29.23
-297.0,21.19,29.45
-296.75,21.19,29.45
-296.5,21.19,29.45
-296.25,21.19,29.45
-296.0,21.15,29.85
-295.75,21.15,29.85
-295.5,21.15,29.85
-295.25,21.15,29.85
-295.0,21.05,29.97
-294.75,21.05,29.97
-294.5,21.05,29.97
-294.25,21.05,29.97
-294.0,20.73,30.01
-293.75,20.73,30.01
-293.5,20.73,30.01
-293.25,20.73,30.01
-293.0,21.05,30.03
-292.75,21.05,30.03
-292.5,21.05,30.03
-292.25,21.05,30.03
-292.0,21.09,29.87
-291.75,21.09,29.87
-291.5,21.09,29.87
-291.25,21.09,29.87
-291.0,21.05,29.89
-290.75,21.05,29.89
-290.5,21.05,29.89
-290.25,21.05,29.89
-290.0,21.03,29.87
-289.75,21.03,29.87
-289.5,21.03,29.87
-289.25,21.03,29.87
-289.0,21.07,30.05
-288.75,21.07,30.05
-288.5,21.07,30.05
-288.25,21.07,30.05
-288.0,21.11,30.07
-287.75,21.11,30.07
-287.5,21.11,30.07
-287.25,21.11,30.07
-287.0,21.09,30.09
-286.75,21.09,30.09
-286.5,21.09,30.09
-286.25,21.09,30.09
-286.0,21.09,30.11
-285.75,21.09,30.11
-285.5,21.09,30.11
-285.25,21.09,30.11
-285.0,21.09,30.09
-284.75,21.09,30.09
-284.5,21.09,30.09
-284.25,21.09,30.09
-284.0,21.09,30.09
-283.75,21.09,30.09
-283.5,21.09,30.09
-283.25,21.09,30.09
-283.0,21.09,30.09
-282.75,21.09,30.09
-282.5,21.09,30.09
-282.25,21.09,30.09
-282.0,21.07,30.09
-281.75,21.07,30.09
-281.5,21.07,30.09
-281.25,21.07,30.09
-281.0,21.09,29.87
-280.75,21.09,29.87
-280.5,21.09,29.87
-280.25,21.09,29.87
-280.0,21.11,29.85
-279.75,21.11,29.85
-279.5,21.11,29.85
-279.25,21.11,29.85
-279.0,21.11,29.81
-278.75,21.11,29.81
-278.5,21.11,29.81
-278.25,21.11,29.81
-278.0,21.09,29.17
-277.75,21.09,29.17
-277.5,21.09,29.17
-277.25,21.09,29.17
-277.0,21.11,29.19
-276.75,21.11,29.19
-276.5,21.11,29.19
-276.25,21.11,29.19
-276.0,21.11,29.19
-275.75,21.11,29.19
-275.5,21.11,29.19
-275.25,21.11,29.19
-275.0,21.11,29.21
-274.75,21.11,29.21
-274.5,21.11,29.21
-274.25,21.11,29.21
-274.0,21.11,29.23
-273.75,21.11,29.23
-273.5,21.11,29.23
-273.25,21.11,29.23
-273.0,21.09,29.23
-272.75,21.09,29.23
-272.5,21.09,29.23
-272.25,21.09,29.23
