time_seconds,TEMP_min,TEMP_max
-300.0,18.45,22.79
-299.75,18.45,22.79
-299.5,18.45,22.79
-299.25,18.45,22.79
-299.0,19.11,23.17
-298.75,19.11,23.17
-298.5,19.11,23.17
-298.25,19.11,23.17
-298.0,19.83,23.65
-297.75,19.83,23.65
-297.5,19.83,23.65
-297.25,19.83,23.65
-297.0,19.73,23.69
-296.75,19.73,23.69
-296.5,19.73,23.69
-296.25,19.73,23.69
-296.0,18.99,24.67
-295.75,18.99,24.67
-295.5,18.99,24.67
-295.25,18.99,24.67
-295.0,18.91,24.57
-294.75,18.91,24.57
-294.5,18.91,24.57
-294.25,18.91,24.57
-294.0,18.96,24.59
-293.75,18.96,24.59
-293.5,18.96,24.59
-293.25,18.96,24.59
-293.0,19.15,24.55
-292.75,19.15,24.55
-292.5,19.15,24.55
-292.25,19.15,24.55
-292.0,17.81,24.71
-291.75,17.81,24.71
-291.5,17.81,24.71
-291.25,17.81,24.71
-291.0,18.95,24.79
-290.75,18.95,24.79
-290.5,18.95,24.79
-290.25,18.95,24.79
-290.0,19.27,24.93
-289.75,19.27,24.93
-289.5,19.27,24.93
-289.25,19.27,24.93
-289.0,19.01,24.93
-288.75,19.01,24.93
-288.5,19.01,24.93
-288.25,19.01,24.93
-288.0,18.96,25.09
-287.75,18.96,25.09
-287.5,18.96,25.09
-287.25,18.96,25.09
-287.0,18.99,25.11
-286.75,18.99,25.11
-286.5,18.99,25.11
-286.25,18.99,25.11
-286.0,18.99,25.13
-285.75,18.99,25.13
-285.5,18.99,25.13
-285.25,18.99,25.13
-285.0,19.07,25.13
-284.75,19.07,25.13
-284.5,19.07,25.13
-284.25,19.07,25.13
-284.0,19.01,25.11
-283.75,19.01,25.11
-283.5,19.01,25.11
-283.25,19.01,25.11
-283.0,19.07,25.13
-282.75,19.07,25.13
-282.5,19.07,25.13
-282.25,19.07,25.13
-282.0,19.04,25.15
-281.75,19.04,25.15
-281.5,19.04,25.15
-281.25,19.04,25.15
-281.0,19.11,25.07
-280.75,19.11,25.07
-280.5,19.11,25.07
-280.25,19.11,25.07
-280.0,19.11,25.11
-279.75,19.11,25.11
-279.5,19.11,25.11
-279.25,19.11,25.11
-279.0,19.33,25.23
-278.75,19.33,25.23
-278.5,19.33,25.23
-278.25,19.33,25.23
-278.0,19.09,25.25
-277.75,19.09,25.25
-277.5,19.09,25.25
-277.25,19.09,25.25
-277.0,19.31,25.39
-276.75,19.31,25.39
-276.5,19.31,25.39
-276.25,19.31,25.39
-276.0,19.12,25.35
-275.75,19.12,25.35
-275.5,19.12,25.35
-275.25,19.12,25.35
-275.0,19.09,25.37
-274.75,19.09,25.37
-274.5,19.09,25.37
-274.25,19.09,25.37
-274.0,19.11,25.39
-273.75,19.11,25.39
-273.5,19.11,25.39
-273.25,19.11,25.39
-273.0,19.31,25.41
-272.75,19.31,25.41
-272.5,19.31,25.41
-272.25,19.31,25.41
-272.0,19.37,25.45
-271.75,19.37,25.45
-271.5,19.37,25.45
-271.25,19.37,25.45
-271.0,19.41,25.51
-270.75,19.41,25.51
-270.5,19.41,25.51
-270.25,19.41,25.51
-270.0,19.43,25.53
-269.75,19.43,25.53
-269.5,19.43,25.53
-269.25,19.43,25.53
-269.0,19.43,25.47
-268.75,19.43,25.47
-268.5,19.43,25.47
-268.25,19.43,25.47
-268.0,19.46,25.45
-267.75,19.46,25.45
-267.5,19.46,25.45
-267.25,19.46,25.45
-267.0,19.43,25.47
-266.75,19.43,25.47
-266.5,19.43,25.47
-266.25,19.43,25.47
-266.0,19.53,25.49
-265.75,19.53,25.49
-265.5,19.53,25.49
-265.25,19.53,25.49
-265.0,19.17,25.51
-264.75,19.17,25.51
-264.5,19.17,25.51
-264.25,19.17,25.51
-264.0,19.39,25.53
-263.75,19.39,25.53
-263.5,19.39,25.53
-263.25,19.39,25.53
-263.0,19.27,25.61
-262.75,19.27,25.61
-262.5,19.27,25.61
-262.25,19.27,25.61
-262.0,19.2,25.67
-261.75,19.2,25.67
-261.5,19.2,25.67
-261.25,19.2,25.67
-261.0,19.53,25.69
-260.75,19.53,25.69
-260.5,19.53,25.69
-260.25,19.53,25.69
-260.0,19.27,25.75
-259.75,19.27,25.75
-259.5,19.27,25.75
-259.25,19.27,25.75
-259.0,19.23,25.83
-258.75,19.23,25.83
-258.5,19.23,25.83
-258.25,19.23,25.83
-258.0,19.23,25.85
-257.75,19.23,25.85
-257.5,19.23,25.85
-257.25,19.23,25.85
-257.0,19.23,25.95
-256.75,19.23,25.95
-256.5,19.23,25.95
-256.25,19.23,25.95
-256.0,19.25,25.93
-255.75,19.25,25.93
-255.5,19.25,25.93
-255.25,19.25,25.93
-255.0,19.25,26.05
-254.75,19.25,26.05
-254.5,19.25,26.05
-254.25,19.25,26.05
-254.0,19.29,26.09
-253.75,19.29,26.09
-253.5,19.29,26.09
-253.25,19.29,26.09
-253.0,19.29,26.13
-252.75,19.29,26.13
-252.5,19.29,26.13
-252.25,19.29,26.13
-252.0,19.53,26.05
-251.75,19.53,26.05
-251.5,19.53,26.05
-251.25,19.53,26.05
-251.0,19.45,26.07
-250.75,19.45,26.07
-250.5,19.45,26.07
-250.25,19.45,26.07
-250.0,19.39,26.13
-249.75,19.39,26.13
-249.5,19.39,26.13
-249.25,19.39,26.13
-249.0,19.33,26.35
-248.75,19.33,26.35
-248.5,19.33,26.35
-248.25,19.33,26.35
-248.0,19.57,26.53
-247.75,19.57,26.53
-247.5,19.57,26.53
-247.25,19.57,26.53
-247.0,20.11,26.45
-246.75,20.11,26.45
-246.5,20.11,26.45
-246.25,20.11,26.45
-246.0,19.37,26.57
-245.75,19.37,26.57
-245.5,19.37,26.57
-245.25,19.37,26.57
-245.0,19.39,26.51
-244.75,19.39,26.51
-244.5,19.39,26.51
-244.25,19.39,26.51
-244.0,19.37,26.47
-243.75,19.37,26.47
-243.5,19.37,26.47
-243.25,19.37,26.47
-243.0,19.39,26.17
-242.75,19.39,26.17
-242.5,19.39,26.17
-242.25,19.39,26.17
-242.0,19.41,26.11
-241.75,19.41,26.11
-241.5,19.41,26.11
-241.25,19.41,26.11
-241.0,19.41,26.03
-240.75,19.41,26.03
-240.5,19.41,26.03
-240.25,19.41,26.03
-240.0,19.41,26.07
-239.75,19.41,26.07
-239.5,19.41,26.07
-239.25,19.41,26.07
-239.0,19.43,27.51
-238.75,19.43,27.51
-238.5,19.43,27.51
-238.25,19.43,27.51
-238.0,19.43,28.37
-237.75,19.43,28.37
-237.5,19.43,28.37
-237.25,19.43,28.37
-237.0,19.45,27.81
-236.75,19.45,27.81
-236.5,19.45,27.81
-236.25,19.45,27.81
-236.0,19.46,28.31
-235.75,19.46,28.31
-235.5,19.46,28.31
-235.25,19.46,28.31
-235.0,19.45,28.85
-234.75,19.45,28.85
-234.5,19.45,28.85
-234.25,19.45,28.85
-234.0,19.49,28.91
-233.75,19.49,28.91
-233.5,19.49,28.91
-233.25,19.49,28.91
-233.0,19.46,29.05
-232.75,19.46,29.05
-232.5,19.46,29.05
-232.25,19.46,29.05
-232.0,19.46,28.93
-231.75,19.46,28.93
-231.5,19.46,28.93
-231.25,19.46,28.93
-231.0,19.49,29.01
-230.75,19.49,29.01
-230.5,19.49,29.01
-230.25,19.49,29.01
-230.0,19.46,29.11
-229.75,19.46,29.11
-229.5,19.46,29.11
-229.25,19.46,29.11
-229.0,19.46,29.13
-228.75,19.46,29.13
-228.5,19.46,29.13
-228.25,19.46,29.13
-228.0,19.39,29.27
-227.75,19.39,29.27
-227.5,19.39,29.27
-227.25,19.39,29.27
-227.0,19.62,29.53
-226.75,19.62,29.53
-226.5,19.62,29.53
-226.25,19.62,29.53
-226.0,19.62,29.19
-225.75,19.62,29.19
-225.5,19.62,29.19
-225.25,19.62,29.19
-225.0,19.62,28.57
-224.75,19.62,28.57
-224.5,19.62,28.57
-224.25,19.62,28.57
-224.0,20.27,28.57
-223.75,20.27,28.57
-223.5,20.27,28.57
-223.25,20.27,28.57
-223.0,19.69,28.77
-222.75,19.69,28.77
-222.5,19.69,28.77
-222.25,19.69,28.77
-222.0,19.69,28.77
-221.75,19.69,28.77
-221.5,19.69,28.77
-221.25,19.69,28.77
-221.0,19.62,28.19
-220.75,19.62,28.19
-220.5,19.62,28.19
-220.25,19.62,28.19
-220.0,19.65,28.03
-219.75,19.65,28.03
-219.5,19.65,28.03
-219.25,19.65,28.03
-219.0,19.65,28.15
-218.75,19.65,28.15
-218.5,19.65,28.15
-218.25,19.65,28.15
-218.0,19.62,29.43
-217.75,19.62,29.43
-217.5,19.62,29.43
-217.25,19.62,29.43
-217.0,19.62,28.45
-216.75,19.62,28.45
-216.5,19.62,28.45
-216.25,19.62,28.45
-216.0,19.62,28.53
-215.75,19.62,28.53
-215.5,19.62,28.53
-215.25,19.62,28.53
-215.0,19.62,29.05
-214.75,19.62,29.05
-214.5,19.62,29.05
-214.25,19.62,29.05
-214.0,19.65,29.13
-213.75,19.65,29.13
-213.5,19.65,29.13
-213.25,19.65,29.13
-213.0,19.65,29.41
-212.75,19.65,29.41
-212.5,19.65,29.41
-212.25,19.65,29.41
-212.0,19.67,29.39
-211.75,19.67,29.39
-211.5,19.67,29.39
-211.25,19.67,29.39
-211.0,19.67,29.35
-210.75,19.67,29.35
-210.5,19.67,29.35
-210.25,19.67,29.35
-210.0,19.67,29.33
-209.75,19.67,29.33
-209.5,19.67,29.33
-209.25,19.67,29.33
-209.0,19.67,29.23
-208.75,19.67,29.23
-208.5,19.67,29.23
-208.25,19.67,29.23
