,HR,timestamp,period
0,84.0,07:56:16,pre-test
1,85.0,07:56:17,pre-test
2,86.0,07:56:18,pre-test
3,86.75,07:56:19,pre-test
4,87.4,07:56:20,pre-test
5,91.0,07:56:21,pre-test
6,93.29,07:56:22,pre-test
7,96.12,07:56:23,pre-test
8,98.11,07:56:24,pre-test
9,100.0,07:56:25,pre-test
10,101.09,07:56:26,pre-test
11,102.25,07:56:27,pre-test
12,102.92,07:56:28,pre-test
13,103.64,07:56:29,pre-test
14,104.27,07:56:30,pre-test
15,104.12,07:56:31,pre-test
16,104.0,07:56:32,pre-test
17,103.67,07:56:33,pre-test
18,103.32,07:56:34,pre-test
19,103.0,07:56:35,pre-test
20,102.33,07:56:36,pre-test
21,102.91,07:56:37,pre-test
22,103.17,07:56:38,pre-test
23,103.46,07:56:39,pre-test
24,103.76,07:56:40,pre-test
25,104.0,07:56:41,pre-test
26,104.19,07:56:42,pre-test
27,104.39,07:56:43,pre-test
28,104.38,07:56:44,pre-test
29,104.43,07:56:45,pre-test
30,104.45,07:56:46,pre-test
31,104.56,07:56:47,pre-test
32,104.67,07:56:48,pre-test
33,104.74,07:56:49,pre-test
34,104.8,07:56:50,pre-test
35,104.86,07:56:51,pre-test
36,104.95,07:56:52,pre-test
37,104.92,07:56:53,pre-test
38,104.92,07:56:54,pre-test
39,104.95,07:56:55,pre-test
40,104.98,07:56:56,pre-test
41,105.05,07:56:57,pre-test
42,105.12,07:56:58,pre-test
43,105.18,07:56:59,pre-test
44,105.22,07:57:00,pre-test
45,105.24,07:57:01,pre-test
46,105.32,07:57:02,pre-test
47,105.42,07:57:03,pre-test
48,105.55,07:57:04,pre-test
49,105.84,07:57:05,pre-test
50,106.04,07:57:06,pre-test
51,106.19,07:57:07,pre-test
52,106.38,07:57:08,pre-test
53,106.56,07:57:09,pre-test
54,106.65,07:57:10,pre-test
55,106.77,07:57:11,pre-test
56,106.89,07:57:12,pre-test
57,106.97,07:57:13,pre-test
58,106.86,07:57:14,pre-test
59,106.78,07:57:15,pre-test
60,106.88,07:57:16,pre-test
61,106.93,07:57:17,pre-test
62,107.28,07:57:18,pre-test
63,107.78,07:57:19,pre-test
64,108.33,07:57:20,pre-test
65,108.57,07:57:21,pre-test
66,108.82,07:57:22,pre-test
67,108.88,07:57:23,pre-test
68,109.0,07:57:24,pre-test
69,109.07,07:57:25,pre-test
