EDA,timestamp,period
0.0,07:55:45,pre-test
0.003844,07:55:45,pre-test
0.016658,07:55:45,pre-test
0.01794,07:55:45,pre-test
0.01794,07:55:46,pre-test
0.01794,07:55:46,pre-test
0.020503,07:55:46,pre-test
0.01794,07:55:46,pre-test
0.019221,07:55:47,pre-test
0.019221,07:55:47,pre-test
0.01794,07:55:47,pre-test
0.019221,07:55:47,pre-test
0.016658,07:55:48,pre-test
0.019221,07:55:48,pre-test
0.019221,07:55:48,pre-test
0.01794,07:55:48,pre-test
0.01794,07:55:49,pre-test
0.019221,07:55:49,pre-test
0.019221,07:55:49,pre-test
0.019221,07:55:49,pre-test
0.019221,07:55:50,pre-test
0.01794,07:55:50,pre-test
0.019221,07:55:50,pre-test
0.019221,07:55:50,pre-test
0.01794,07:55:51,pre-test
0.020503,07:55:51,pre-test
0.01794,07:55:51,pre-test
0.019221,07:55:51,pre-test
0.020503,07:55:52,pre-test
0.01794,07:55:52,pre-test
0.019221,07:55:52,pre-test
0.01794,07:55:52,pre-test
0.019221,07:55:53,pre-test
0.01794,07:55:53,pre-test
0.01794,07:55:53,pre-test
0.020503,07:55:53,pre-test
0.01794,07:55:54,pre-test
0.019221,07:55:54,pre-test
0.01794,07:55:54,pre-test
0.020503,07:55:54,pre-test
0.019221,07:55:55,pre-test
0.01794,07:55:55,pre-test
0.019221,07:55:55,pre-test
0.01794,07:55:55,pre-test
0.019221,07:55:56,pre-test
0.019221,07:55:56,pre-test
0.01794,07:55:56,pre-test
0.019221,07:55:56,pre-test
0.01794,07:55:57,pre-test
0.019221,07:55:57,pre-test
0.020503,07:55:57,pre-test
0.01794,07:55:57,pre-test
0.01794,07:55:58,pre-test
0.01794,07:55:58,pre-test
0.019221,07:55:58,pre-test
0.019221,07:55:58,pre-test
0.01794,07:55:59,pre-test
0.019221,07:55:59,pre-test
0.01794,07:55:59,pre-test
0.019221,07:55:59,pre-test
0.019221,07:56:00,pre-test
0.01794,07:56:00,pre-test
0.019221,07:56:00,pre-test
0.01794,07:56:00,pre-test
0.016658,07:56:01,pre-test
0.019221,07:56:01,pre-test
0.016658,07:56:01,pre-test
0.019221,07:56:01,pre-test
0.01794,07:56:02,pre-test
0.019221,07:56:02,pre-test
0.019221,07:56:02,pre-test
0.016658,07:56:02,pre-test
0.019221,07:56:03,pre-test
0.016658,07:56:03,pre-test
0.01794,07:56:03,pre-test
0.019221,07:56:03,pre-test
0.016658,07:56:04,pre-test
0.01794,07:56:04,pre-test
0.016658,07:56:04,pre-test
0.016658,07:56:04,pre-test
0.019221,07:56:05,pre-test
0.016658,07:56:05,pre-test
0.016658,07:56:05,pre-test
0.019221,07:56:05,pre-test
0.016658,07:56:06,pre-test
0.01794,07:56:06,pre-test
0.016658,07:56:06,pre-test
0.01794,07:56:06,pre-test
0.016658,07:56:07,pre-test
0.016658,07:56:07,pre-test
0.01794,07:56:07,pre-test
0.01794,07:56:07,pre-test
0.019221,07:56:08,pre-test
0.016658,07:56:08,pre-test
0.016658,07:56:08,pre-test
0.01794,07:56:08,pre-test
0.016658,07:56:09,pre-test
0.01794,07:56:09,pre-test
0.01794,07:56:09,pre-test
0.015377,07:56:09,pre-test
0.01794,07:56:10,pre-test
0.015377,07:56:10,pre-test
0.016658,07:56:10,pre-test
0.016658,07:56:10,pre-test
0.015377,07:56:11,pre-test
0.01794,07:56:11,pre-test
0.015377,07:56:11,pre-test
0.016658,07:56:11,pre-test
0.016658,07:56:12,pre-test
0.015377,07:56:12,pre-test
0.016658,07:56:12,pre-test
0.014096,07:56:12,pre-test
0.015377,07:56:13,pre-test
0.01794,07:56:13,pre-test
0.014096,07:56:13,pre-test
0.016658,07:56:13,pre-test
0.016658,07:56:14,pre-test
0.014096,07:56:14,pre-test
0.015377,07:56:14,pre-test
0.014096,07:56:14,pre-test
0.014096,07:56:15,pre-test
0.015377,07:56:15,pre-test
0.014096,07:56:15,pre-test
0.015377,07:56:15,pre-test
0.015377,07:56:16,pre-test
0.015377,07:56:16,pre-test
0.015377,07:56:16,pre-test
0.014096,07:56:16,pre-test
0.014096,07:56:17,pre-test
0.015377,07:56:17,pre-test
0.015377,07:56:17,pre-test
0.015377,07:56:17,pre-test
0.014096,07:56:18,pre-test
0.014096,07:56:18,pre-test
0.012814,07:56:18,pre-test
0.015377,07:56:18,pre-test
0.015377,07:56:19,pre-test
0.014096,07:56:19,pre-test
0.015377,07:56:19,pre-test
0.012814,07:56:19,pre-test
0.014096,07:56:20,pre-test
0.014096,07:56:20,pre-test
0.012814,07:56:20,pre-test
0.012814,07:56:20,pre-test
0.012814,07:56:21,pre-test
0.012814,07:56:21,pre-test
0.014096,07:56:21,pre-test
0.012814,07:56:21,pre-test
0.012814,07:56:22,pre-test
0.015377,07:56:22,pre-test
0.012814,07:56:22,pre-test
0.014096,07:56:22,pre-test
0.012814,07:56:23,pre-test
0.012814,07:56:23,pre-test
0.014096,07:56:23,pre-test
0.012814,07:56:23,pre-test
0.012814,07:56:24,pre-test
0.014096,07:56:24,pre-test
0.014096,07:56:24,pre-test
0.014096,07:56:24,pre-test
0.012814,07:56:25,pre-test
0.011533,07:56:25,pre-test
0.011533,07:56:25,pre-test
0.014096,07:56:25,pre-test
0.012814,07:56:26,pre-test
0.012814,07:56:26,pre-test
0.014096,07:56:26,pre-test
0.012814,07:56:26,pre-test
0.012814,07:56:27,pre-test
0.014096,07:56:27,pre-test
0.012814,07:56:27,pre-test
0.012814,07:56:27,pre-test
0.012814,07:56:28,pre-test
0.012814,07:56:28,pre-test
0.012814,07:56:28,pre-test
0.012814,07:56:28,pre-test
0.012814,07:56:29,pre-test
0.014096,07:56:29,pre-test
0.012814,07:56:29,pre-test
0.014096,07:56:29,pre-test
0.011533,07:56:30,pre-test
0.014096,07:56:30,pre-test
0.014096,07:56:30,pre-test
0.011533,07:56:30,pre-test
0.012814,07:56:31,pre-test
0.011533,07:56:31,pre-test
0.014096,07:56:31,pre-test
0.014096,07:56:31,pre-test
0.011533,07:56:32,pre-test
0.012814,07:56:32,pre-test
0.012814,07:56:32,pre-test
0.011533,07:56:32,pre-test
0.012814,07:56:33,pre-test
0.012814,07:56:33,pre-test
0.012814,07:56:33,pre-test
0.014096,07:56:33,pre-test
0.011533,07:56:34,pre-test
0.014096,07:56:34,pre-test
0.011533,07:56:34,pre-test
0.014096,07:56:34,pre-test
0.014096,07:56:35,pre-test
0.014096,07:56:35,pre-test
0.014096,07:56:35,pre-test
0.012814,07:56:35,pre-test
0.012814,07:56:36,pre-test
0.015377,07:56:36,pre-test
0.012814,07:56:36,pre-test
0.014096,07:56:36,pre-test
0.012814,07:56:37,pre-test
0.012814,07:56:37,pre-test
0.012814,07:56:37,pre-test
0.012814,07:56:37,pre-test
0.014096,07:56:38,pre-test
0.014096,07:56:38,pre-test
0.012814,07:56:38,pre-test
0.014096,07:56:38,pre-test
0.012814,07:56:39,pre-test
0.014096,07:56:39,pre-test
0.014096,07:56:39,pre-test
0.012814,07:56:39,pre-test
0.014096,07:56:40,pre-test
0.014096,07:56:40,pre-test
0.012814,07:56:40,pre-test
0.014096,07:56:40,pre-test
0.012814,07:56:41,pre-test
0.014096,07:56:41,pre-test
0.015377,07:56:41,pre-test
0.012814,07:56:41,pre-test
0.014096,07:56:42,pre-test
0.012814,07:56:42,pre-test
0.012814,07:56:42,pre-test
0.014096,07:56:42,pre-test
0.012814,07:56:43,pre-test
0.014096,07:56:43,pre-test
0.012814,07:56:43,pre-test
