EDA,timestamp,period
0.0,10:29:02,in-test
0.003844,10:29:02,in-test
0.016655,10:29:02,in-test
0.016655,10:29:02,in-test
0.017936,10:29:03,in-test
0.016655,10:29:03,in-test
0.017936,10:29:03,in-test
0.017936,10:29:03,in-test
0.015374,10:29:04,in-test
0.016655,10:29:04,in-test
0.015374,10:29:04,in-test
0.014093,10:29:04,in-test
0.014093,10:29:05,in-test
0.011531,10:29:05,in-test
0.012812,10:29:05,in-test
0.010249,10:29:05,in-test
0.010249,10:29:06,in-test
0.010249,10:29:06,in-test
0.007687,10:29:06,in-test
0.008968,10:29:06,in-test
0.006406,10:29:07,in-test
0.007687,10:29:07,in-test
0.006406,10:29:07,in-test
0.005125,10:29:07,in-test
0.005125,10:29:08,in-test
0.003844,10:29:08,in-test
0.005125,10:29:08,in-test
0.003844,10:29:08,in-test
0.002562,10:29:09,in-test
0.003844,10:29:09,in-test
0.002562,10:29:09,in-test
0.002562,10:29:09,in-test
0.002562,10:29:10,in-test
0.001281,10:29:10,in-test
0.002562,10:29:10,in-test
0.001281,10:29:10,in-test
0.002562,10:29:11,in-test
0.002562,10:29:11,in-test
0.0,10:29:11,in-test
0.001281,10:29:11,in-test
0.0,10:29:12,in-test
0.001281,10:29:12,in-test
0.0,10:29:12,in-test
0.0,10:29:12,in-test
0.001281,10:29:13,in-test
0.0,10:29:13,in-test
0.001281,10:29:13,in-test
0.001281,10:29:13,in-test
0.0,10:29:14,in-test
0.0,10:29:14,in-test
0.0,10:29:14,in-test
0.0,10:29:14,in-test
0.0,10:29:15,in-test
0.0,10:29:15,in-test
0.0,10:29:15,in-test
0.0,10:29:15,in-test
0.0,10:29:16,in-test
0.0,10:29:16,in-test
0.0,10:29:16,in-test
0.0,10:29:16,in-test
0.0,10:29:17,in-test
0.0,10:29:17,in-test
0.0,10:29:17,in-test
0.0,10:29:17,in-test
0.0,10:29:18,in-test
0.0,10:29:18,in-test
0.0,10:29:18,in-test
0.0,10:29:18,in-test
0.0,10:29:19,in-test
0.0,10:29:19,in-test
0.0,10:29:19,in-test
0.0,10:29:19,in-test
0.0,10:29:20,in-test
0.0,10:29:20,in-test
0.0,10:29:20,in-test
0.0,10:29:20,in-test
0.0,10:29:21,in-test
0.0,10:29:21,in-test
0.0,10:29:21,in-test
0.0,10:29:21,in-test
0.0,10:29:22,in-test
0.0,10:29:22,in-test
0.0,10:29:22,in-test
0.0,10:29:22,in-test
0.0,10:29:23,in-test
0.0,10:29:23,in-test
0.0,10:29:23,in-test
0.0,10:29:23,in-test
0.0,10:29:24,in-test
0.0,10:29:24,in-test
0.0,10:29:24,in-test
0.0,10:29:24,in-test
0.0,10:29:25,in-test
0.0,10:29:25,in-test
0.0,10:29:25,in-test
0.0,10:29:25,in-test
0.0,10:29:26,in-test
0.0,10:29:26,in-test
0.0,10:29:26,in-test
0.0,10:29:26,in-test
0.0,10:29:27,in-test
0.0,10:29:27,in-test
0.0,10:29:27,in-test
0.0,10:29:27,in-test
0.0,10:29:28,in-test
0.0,10:29:28,in-test
0.0,10:29:28,in-test
0.0,10:29:28,in-test
0.0,10:29:29,in-test
0.016655,10:29:29,in-test
0.312607,10:29:29,in-test
0.295952,10:29:29,in-test
0.796892,10:29:30,in-test
0.022047,10:29:30,in-test
0.0,10:29:30,in-test
0.0,10:29:30,in-test
0.0,10:29:31,in-test
0.0,10:29:31,in-test
0.0,10:29:31,in-test
0.0,10:29:31,in-test
0.0,10:29:32,in-test
0.0,10:29:32,in-test
0.0,10:29:32,in-test
0.0,10:29:32,in-test
0.0,10:29:33,in-test
0.0,10:29:33,in-test
0.0,10:29:33,in-test
0.0,10:29:33,in-test
0.0,10:29:34,in-test
0.0,10:29:34,in-test
0.0,10:29:34,in-test
0.0,10:29:34,in-test
0.0,10:29:35,in-test
0.0,10:29:35,in-test
0.0,10:29:35,in-test
0.0,10:29:35,in-test
0.0,10:29:36,in-test
0.0,10:29:36,in-test
0.0,10:29:36,in-test
0.0,10:29:36,in-test
0.0,10:29:37,in-test
0.0,10:29:37,in-test
0.0,10:29:37,in-test
0.0,10:29:37,in-test
0.0,10:29:38,in-test
0.0,10:29:38,in-test
0.0,10:29:38,in-test
0.0,10:29:38,in-test
0.0,10:29:39,in-test
0.0,10:29:39,in-test
0.0,10:29:39,in-test
0.0,10:29:39,in-test
0.0,10:29:40,in-test
0.0,10:29:40,in-test
0.0,10:29:40,in-test
0.0,10:29:40,in-test
0.0,10:29:41,in-test
0.0,10:29:41,in-test
0.0,10:29:41,in-test
0.0,10:29:41,in-test
0.0,10:29:42,in-test
0.0,10:29:42,in-test
0.0,10:29:42,in-test
0.0,10:29:42,in-test
0.0,10:29:43,in-test
0.0,10:29:43,in-test
0.0,10:29:43,in-test
0.0,10:29:43,in-test
0.0,10:29:44,in-test
0.0,10:29:44,in-test
0.0,10:29:44,in-test
0.0,10:29:44,in-test
0.0,10:29:45,in-test
0.0,10:29:45,in-test
0.0,10:29:45,in-test
0.0,10:29:45,in-test
0.0,10:29:46,in-test
0.0,10:29:46,in-test
0.0,10:29:46,in-test
0.0,10:29:46,in-test
0.0,10:29:47,in-test
0.0,10:29:47,in-test
0.0,10:29:47,in-test
0.0,10:29:47,in-test
0.0,10:29:48,in-test
0.0,10:29:48,in-test
0.0,10:29:48,in-test
0.0,10:29:48,in-test
0.0,10:29:49,in-test
0.0,10:29:49,in-test
0.0,10:29:49,in-test
0.0,10:29:49,in-test
0.0,10:29:50,in-test
0.0,10:29:50,in-test
0.0,10:29:50,in-test
0.0,10:29:50,in-test
0.0,10:29:51,in-test
0.0,10:29:51,in-test
0.0,10:29:51,in-test
0.0,10:29:51,in-test
0.0,10:29:52,in-test
0.0,10:29:52,in-test
0.0,10:29:52,in-test
0.0,10:29:52,in-test
0.0,10:29:53,in-test
0.0,10:29:53,in-test
0.0,10:29:53,in-test
0.0,10:29:53,in-test
0.0,10:29:54,in-test
0.0,10:29:54,in-test
0.0,10:29:54,in-test
0.0,10:29:54,in-test
0.0,10:29:55,in-test
0.0,10:29:55,in-test
0.0,10:29:55,in-test
0.0,10:29:55,in-test
0.0,10:29:56,in-test
0.0,10:29:56,in-test
0.0,10:29:56,in-test
0.0,10:29:56,in-test
0.0,10:29:57,in-test
0.0,10:29:57,in-test
0.0,10:29:57,in-test
0.0,10:29:57,in-test
0.0,10:29:58,in-test
0.0,10:29:58,in-test
0.0,10:29:58,in-test
0.0,10:29:58,in-test
0.0,10:29:59,in-test
0.0,10:29:59,in-test
0.0,10:29:59,in-test
0.0,10:29:59,in-test
0.0,10:30:00,in-test
0.0,10:30:00,in-test
0.0,10:30:00,in-test
0.0,10:30:00,in-test
0.0,10:30:01,in-test
0.0,10:30:01,in-test
0.0,10:30:01,in-test
0.0,10:30:01,in-test
0.0,10:30:02,in-test
0.0,10:30:02,in-test
0.0,10:30:02,in-test
0.0,10:30:02,in-test
0.0,10:30:03,in-test
0.0,10:30:03,in-test
0.0,10:30:03,in-test
0.0,10:30:03,in-test
0.0,10:30:04,in-test
0.0,10:30:04,in-test
0.0,10:30:04,in-test
0.0,10:30:04,in-test
0.0,10:30:05,in-test
0.0,10:30:05,in-test
0.0,10:30:05,in-test
0.0,10:30:05,in-test
0.0,10:30:06,in-test
0.0,10:30:06,in-test
0.0,10:30:06,in-test
0.0,10:30:06,in-test
0.0,10:30:07,in-test
0.0,10:30:07,in-test
0.0,10:30:07,in-test
0.0,10:30:07,in-test
0.0,10:30:08,in-test
0.0,10:30:08,in-test
0.0,10:30:08,in-test
0.0,10:30:08,in-test
0.0,10:30:09,in-test
0.0,10:30:09,in-test
0.0,10:30:09,in-test
0.0,10:30:09,in-test
0.0,10:30:10,in-test
0.0,10:30:10,in-test
0.0,10:30:10,in-test
0.0,10:30:10,in-test
0.0,10:30:11,in-test
0.0,10:30:11,in-test
0.0,10:30:11,in-test
0.0,10:30:11,in-test
0.0,10:30:12,in-test
0.0,10:30:12,in-test
0.0,10:30:12,in-test
0.0,10:30:12,in-test
0.0,10:30:13,in-test
0.0,10:30:13,in-test
0.0,10:30:13,in-test
0.0,10:30:13,in-test
0.0,10:30:14,in-test
0.0,10:30:14,in-test
0.0,10:30:14,in-test
0.0,10:30:14,in-test
0.0,10:30:15,in-test
0.0,10:30:15,in-test
0.0,10:30:15,in-test
0.0,10:30:15,in-test
0.0,10:30:16,in-test
0.0,10:30:16,in-test
0.0,10:30:16,in-test
0.0,10:30:16,in-test
0.0,10:30:17,in-test
0.0,10:30:17,in-test
0.0,10:30:17,in-test
0.0,10:30:17,in-test
0.0,10:30:18,in-test
0.0,10:30:18,in-test
0.0,10:30:18,in-test
0.0,10:30:18,in-test
0.0,10:30:19,in-test
0.0,10:30:19,in-test
0.0,10:30:19,in-test
0.0,10:30:19,in-test
0.0,10:30:20,in-test
0.0,10:30:20,in-test
0.0,10:30:20,in-test
0.0,10:30:20,in-test
0.0,10:30:21,in-test
0.0,10:30:21,in-test
0.0,10:30:21,in-test
0.0,10:30:21,in-test
0.0,10:30:22,in-test
0.0,10:30:22,in-test
0.0,10:30:22,in-test
0.0,10:30:22,in-test
0.0,10:30:23,in-test
0.0,10:30:23,in-test
0.0,10:30:23,in-test
0.0,10:30:23,in-test
0.0,10:30:24,in-test
0.0,10:30:24,in-test
0.0,10:30:24,in-test
0.0,10:30:24,in-test
0.0,10:30:25,in-test
0.0,10:30:25,in-test
0.0,10:30:25,in-test
0.0,10:30:25,in-test
0.0,10:30:26,in-test
0.0,10:30:26,in-test
0.0,10:30:26,in-test
0.0,10:30:26,in-test
0.0,10:30:27,in-test
0.0,10:30:27,in-test
0.0,10:30:27,in-test
0.0,10:30:27,in-test
0.0,10:30:28,in-test
0.0,10:30:28,in-test
0.0,10:30:28,in-test
0.0,10:30:28,in-test
0.0,10:30:29,in-test
0.0,10:30:29,in-test
0.0,10:30:29,in-test
0.0,10:30:29,in-test
0.0,10:30:30,in-test
0.0,10:30:30,in-test
0.0,10:30:30,in-test
0.0,10:30:30,in-test
0.0,10:30:31,in-test
0.0,10:30:31,in-test
0.0,10:30:31,in-test
0.0,10:30:31,in-test
0.0,10:30:32,in-test
0.0,10:30:32,in-test
0.0,10:30:32,in-test
0.0,10:30:32,in-test
0.0,10:30:33,in-test
0.0,10:30:33,in-test
0.0,10:30:33,in-test
0.0,10:30:33,in-test
0.0,10:30:34,in-test
0.0,10:30:34,in-test
0.0,10:30:34,in-test
0.0,10:30:34,in-test
0.0,10:30:35,in-test
0.0,10:30:35,in-test
0.0,10:30:35,in-test
0.0,10:30:35,in-test
0.0,10:30:36,in-test
0.0,10:30:36,in-test
0.0,10:30:36,in-test
0.0,10:30:36,in-test
0.0,10:30:37,in-test
0.0,10:30:37,in-test
0.0,10:30:37,in-test
0.0,10:30:37,in-test
0.0,10:30:38,in-test
0.0,10:30:38,in-test
0.0,10:30:38,in-test
0.0,10:30:38,in-test
0.0,10:30:39,in-test
0.0,10:30:39,in-test
0.0,10:30:39,in-test
0.0,10:30:39,in-test
