HR,timestamp,period
115.0,08:18:18,pre-test
91.0,08:18:19,pre-test
103.0,08:18:20,pre-test
119.75,08:18:21,pre-test
120.6,08:18:22,pre-test
120.67,08:18:23,pre-test
120.86,08:18:24,pre-test
121.0,08:18:25,pre-test
121.0,08:18:26,pre-test
121.1,08:18:27,pre-test
121.27,08:18:28,pre-test
121.5,08:18:29,pre-test
121.77,08:18:30,pre-test
122.07,08:18:31,pre-test
122.4,08:18:32,pre-test
122.81,08:18:33,pre-test
123.29,08:18:34,pre-test
123.78,08:18:35,pre-test
124.21,08:18:36,pre-test
124.55,08:18:37,pre-test
124.76,08:18:38,pre-test
124.91,08:18:39,pre-test
124.91,08:18:40,pre-test
124.96,08:18:41,pre-test
124.96,08:18:42,pre-test
124.96,08:18:43,pre-test
124.96,08:18:44,pre-test
125.04,08:18:45,pre-test
125.07,08:18:46,pre-test
125.0,08:18:47,pre-test
124.94,08:18:48,pre-test
124.97,08:18:49,pre-test
124.88,08:18:50,pre-test
124.91,08:18:51,pre-test
124.74,08:18:52,pre-test
124.56,08:18:53,pre-test
123.78,08:18:54,pre-test
122.95,08:18:55,pre-test
122.18,08:18:56,pre-test
121.38,08:18:57,pre-test
120.61,08:18:58,pre-test
119.83,08:18:59,pre-test
118.88,08:19:00,pre-test
117.93,08:19:01,pre-test
117.04,08:19:02,pre-test
116.3,08:19:03,pre-test
115.6,08:19:04,pre-test
114.92,08:19:05,pre-test
114.27,08:19:06,pre-test
113.66,08:19:07,pre-test
113.16,08:19:08,pre-test
112.85,08:19:09,pre-test
112.55,08:19:10,pre-test
112.24,08:19:11,pre-test
111.98,08:19:12,pre-test
111.66,08:19:13,pre-test
111.39,08:19:14,pre-test
111.07,08:19:15,pre-test
110.76,08:19:16,pre-test
110.5,08:19:17,pre-test
110.18,08:19:18,pre-test
110.67,08:19:19,pre-test
110.17,08:19:20,pre-test
109.02,08:19:21,pre-test
108.63,08:19:22,pre-test
108.28,08:19:23,pre-test
107.92,08:19:24,pre-test
107.58,08:19:25,pre-test
107.25,08:19:26,pre-test
106.92,08:19:27,pre-test
106.58,08:19:28,pre-test
106.23,08:19:29,pre-test
105.83,08:19:30,pre-test
105.55,08:19:31,pre-test
105.28,08:19:32,pre-test
104.9,08:19:33,pre-test
105.08,08:19:34,pre-test
105.23,08:19:35,pre-test
105.38,08:19:36,pre-test
106.0,08:19:37,pre-test
106.85,08:19:38,pre-test
107.72,08:19:39,pre-test
108.67,08:19:40,pre-test
109.6,08:19:41,pre-test
110.55,08:19:42,pre-test
111.47,08:19:43,pre-test
112.5,08:19:44,pre-test
113.6,08:19:45,pre-test
114.72,08:19:46,pre-test
115.87,08:19:47,pre-test
117.02,08:19:48,pre-test
118.12,08:19:49,pre-test
119.33,08:19:50,pre-test
120.52,08:19:51,pre-test
121.82,08:19:52,pre-test
123.1,08:19:53,pre-test
124.75,08:19:54,pre-test
126.47,08:19:55,pre-test
128.18,08:19:56,pre-test
129.77,08:19:57,pre-test
131.37,08:19:58,pre-test
132.78,08:19:59,pre-test
134.35,08:20:00,pre-test
136.0,08:20:01,pre-test
137.7,08:20:02,pre-test
139.35,08:20:03,pre-test
141.0,08:20:04,pre-test
142.65,08:20:05,pre-test
144.32,08:20:06,pre-test
146.03,08:20:07,pre-test
147.68,08:20:08,pre-test
149.22,08:20:09,pre-test
150.77,08:20:10,pre-test
152.33,08:20:11,pre-test
153.72,08:20:12,pre-test
155.03,08:20:13,pre-test
156.33,08:20:14,pre-test
157.7,08:20:15,pre-test
159.0,08:20:16,pre-test
160.27,08:20:17,pre-test
161.4,08:20:18,pre-test
162.5,08:20:19,pre-test
163.63,08:20:20,pre-test
164.68,08:20:21,pre-test
165.77,08:20:22,pre-test
166.87,08:20:23,pre-test
167.95,08:20:24,pre-test
169.1,08:20:25,pre-test
170.48,08:20:26,pre-test
171.8,08:20:27,pre-test
173.08,08:20:28,pre-test
174.37,08:20:29,pre-test
175.68,08:20:30,pre-test
176.83,08:20:31,pre-test
177.97,08:20:32,pre-test
179.2,08:20:33,pre-test
179.83,08:20:34,pre-test
180.48,08:20:35,pre-test
181.15,08:20:36,pre-test
181.42,08:20:37,pre-test
181.48,08:20:38,pre-test
181.6,08:20:39,pre-test
181.72,08:20:40,pre-test
181.75,08:20:41,pre-test
181.77,08:20:42,pre-test
181.83,08:20:43,pre-test
181.78,08:20:44,pre-test
181.65,08:20:45,pre-test
181.5,08:20:46,pre-test
181.45,08:20:47,pre-test
181.4,08:20:48,pre-test
181.3,08:20:49,pre-test
181.15,08:20:50,pre-test
180.98,08:20:51,pre-test
180.78,08:20:52,pre-test
180.62,08:20:53,pre-test
180.43,08:20:54,pre-test
180.15,08:20:55,pre-test
179.88,08:20:56,pre-test
179.82,08:20:57,pre-test
179.8,08:20:58,pre-test
180.03,08:20:59,pre-test
180.27,08:21:00,pre-test
180.45,08:21:01,pre-test
180.58,08:21:02,pre-test
180.72,08:21:03,pre-test
180.87,08:21:04,pre-test
181.02,08:21:05,pre-test
181.12,08:21:06,pre-test
181.18,08:21:07,pre-test
181.25,08:21:08,pre-test
181.35,08:21:09,pre-test
181.43,08:21:10,pre-test
181.52,08:21:11,pre-test
181.7,08:21:12,pre-test
181.92,08:21:13,pre-test
182.18,08:21:14,pre-test
182.42,08:21:15,pre-test
182.73,08:21:16,pre-test
183.05,08:21:17,pre-test
183.48,08:21:18,pre-test
183.87,08:21:19,pre-test
184.22,08:21:20,pre-test
184.62,08:21:21,pre-test
184.93,08:21:22,pre-test
185.23,08:21:23,pre-test
185.53,08:21:24,pre-test
185.78,08:21:25,pre-test
185.73,08:21:26,pre-test
185.73,08:21:27,pre-test
185.75,08:21:28,pre-test
185.77,08:21:29,pre-test
185.78,08:21:30,pre-test
185.85,08:21:31,pre-test
185.9,08:21:32,pre-test
185.9,08:21:33,pre-test
185.88,08:21:34,pre-test
185.85,08:21:35,pre-test
185.77,08:21:36,pre-test
185.63,08:21:37,pre-test
185.45,08:21:38,pre-test
185.18,08:21:39,pre-test
184.83,08:21:40,pre-test
184.57,08:21:41,pre-test
184.33,08:21:42,pre-test
184.12,08:21:43,pre-test
183.92,08:21:44,pre-test
183.7,08:21:45,pre-test
183.48,08:21:46,pre-test
183.2,08:21:47,pre-test
182.93,08:21:48,pre-test
182.73,08:21:49,pre-test
182.5,08:21:50,pre-test
182.23,08:21:51,pre-test
181.98,08:21:52,pre-test
181.78,08:21:53,pre-test
181.62,08:21:54,pre-test
181.55,08:21:55,pre-test
181.45,08:21:56,pre-test
181.33,08:21:57,pre-test
180.97,08:21:58,pre-test
180.58,08:21:59,pre-test
180.2,08:22:00,pre-test
179.82,08:22:01,pre-test
179.5,08:22:02,pre-test
178.98,08:22:03,pre-test
178.45,08:22:04,pre-test
177.95,08:22:05,pre-test
177.48,08:22:06,pre-test
176.98,08:22:07,pre-test
176.63,08:22:08,pre-test
176.22,08:22:09,pre-test
175.8,08:22:10,pre-test
175.38,08:22:11,pre-test
175.05,08:22:12,pre-test
174.78,08:22:13,pre-test
174.5,08:22:14,pre-test
173.35,08:22:15,pre-test
172.18,08:22:16,pre-test
171.02,08:22:17,pre-test
169.7,08:22:18,pre-test
168.38,08:22:19,pre-test
167.08,08:22:20,pre-test
165.72,08:22:21,pre-test
164.38,08:22:22,pre-test
163.03,08:22:23,pre-test
161.72,08:22:24,pre-test
160.35,08:22:25,pre-test
159.03,08:22:26,pre-test
157.72,08:22:27,pre-test
156.4,08:22:28,pre-test
155.08,08:22:29,pre-test
153.8,08:22:30,pre-test
152.47,08:22:31,pre-test
151.07,08:22:32,pre-test
148.95,08:22:33,pre-test
148.57,08:22:34,pre-test
146.87,08:22:35,pre-test
146.75,08:22:36,pre-test
145.08,08:22:37,pre-test
145.02,08:22:38,pre-test
144.55,08:22:39,pre-test
144.15,08:22:40,pre-test
143.77,08:22:41,pre-test
142.1,08:22:42,pre-test
141.98,08:22:43,pre-test
140.2,08:22:44,pre-test
140.03,08:22:45,pre-test
138.23,08:22:46,pre-test
138.03,08:22:47,pre-test
136.17,08:22:48,pre-test
135.85,08:22:49,pre-test
134.02,08:22:50,pre-test
133.8,08:22:51,pre-test
132.47,08:22:52,pre-test
130.83,08:22:53,pre-test
130.55,08:22:54,pre-test
128.82,08:22:55,pre-test
128.55,08:22:56,pre-test
126.82,08:22:57,pre-test
126.8,08:22:58,pre-test
125.2,08:22:59,pre-test
125.17,08:23:00,pre-test
123.57,08:23:01,pre-test
123.43,08:23:02,pre-test
121.88,08:23:03,pre-test
121.92,08:23:04,pre-test
120.32,08:23:05,pre-test
120.32,08:23:06,pre-test
118.68,08:23:07,pre-test
118.58,08:23:08,pre-test
116.8,08:23:09,pre-test
116.68,08:23:10,pre-test
114.92,08:23:11,pre-test
114.77,08:23:12,pre-test
113.57,08:23:13,pre-test
112.28,08:23:14,pre-test
111.9,08:23:15,pre-test
111.48,08:23:16,pre-test
111.08,08:23:17,pre-test
110.85,08:23:18,pre-test
110.68,08:23:19,pre-test
110.2,08:23:20,pre-test
111.1,08:23:21,pre-test
110.72,08:23:22,pre-test
111.67,08:23:23,pre-test
