HR,timestamp,period,time_seconds
97.0,08:19:25,pre-test,0
74.0,08:19:26,pre-test,1
86.33,08:19:27,pre-test,2
78.5,08:19:28,pre-test,3
86.8,08:19:29,pre-test,4
81.67,08:19:30,pre-test,5
88.43,08:19:31,pre-test,6
91.75,08:19:32,pre-test,7
87.44,08:19:33,pre-test,8
84.7,08:19:34,pre-test,9
83.09,08:19:35,pre-test,10
81.83,08:19:36,pre-test,11
80.85,08:19:37,pre-test,12
80.0,08:19:38,pre-test,13
79.27,08:19:39,pre-test,14
78.62,08:19:40,pre-test,15
78.06,08:19:41,pre-test,16
77.5,08:19:42,pre-test,17
77.21,08:19:43,pre-test,18
77.35,08:19:44,pre-test,19
77.67,08:19:45,pre-test,20
77.86,08:19:46,pre-test,21
78.3,08:19:47,pre-test,22
78.92,08:19:48,pre-test,23
79.72,08:19:49,pre-test,24
80.42,08:19:50,pre-test,25
81.07,08:19:51,pre-test,26
81.68,08:19:52,pre-test,27
82.21,08:19:53,pre-test,28
82.73,08:19:54,pre-test,29
83.16,08:19:55,pre-test,30
82.31,08:19:56,pre-test,31
82.58,08:19:57,pre-test,32
81.76,08:19:58,pre-test,33
82.06,08:19:59,pre-test,34
81.22,08:20:00,pre-test,35
81.76,08:20:01,pre-test,36
83.0,08:20:02,pre-test,37
84.15,08:20:03,pre-test,38
85.25,08:20:04,pre-test,39
86.22,08:20:05,pre-test,40
87.02,08:20:06,pre-test,41
87.72,08:20:07,pre-test,42
88.43,08:20:08,pre-test,43
89.09,08:20:09,pre-test,44
89.72,08:20:10,pre-test,45
90.32,08:20:11,pre-test,46
90.9,08:20:12,pre-test,47
91.45,08:20:13,pre-test,48
91.98,08:20:14,pre-test,49
92.47,08:20:15,pre-test,50
93.12,08:20:16,pre-test,51
94.08,08:20:17,pre-test,52
95.0,08:20:18,pre-test,53
96.93,08:20:19,pre-test,54
98.73,08:20:20,pre-test,55
100.54,08:20:21,pre-test,56
101.31,08:20:22,pre-test,57
102.02,08:20:23,pre-test,58
102.68,08:20:24,pre-test,59
103.43,08:20:25,pre-test,60
104.93,08:20:26,pre-test,61
105.43,08:20:27,pre-test,62
106.85,08:20:28,pre-test,63
106.97,08:20:29,pre-test,64
108.32,08:20:30,pre-test,65
108.47,08:20:31,pre-test,66
108.85,08:20:32,pre-test,67
109.8,08:20:33,pre-test,68
112.07,08:20:34,pre-test,69
114.22,08:20:35,pre-test,70
116.37,08:20:36,pre-test,71
118.5,08:20:37,pre-test,72
119.23,08:20:38,pre-test,73
119.95,08:20:39,pre-test,74
120.53,08:20:40,pre-test,75
121.77,08:20:41,pre-test,76
123.02,08:20:42,pre-test,77
124.2,08:20:43,pre-test,78
126.17,08:20:44,pre-test,79
128.07,08:20:45,pre-test,80
129.13,08:20:46,pre-test,81
130.97,08:20:47,pre-test,82
132.73,08:20:48,pre-test,83
134.38,08:20:49,pre-test,84
136.07,08:20:50,pre-test,85
137.78,08:20:51,pre-test,86
139.43,08:20:52,pre-test,87
140.87,08:20:53,pre-test,88
142.48,08:20:54,pre-test,89
143.98,08:20:55,pre-test,90
146.17,08:20:56,pre-test,91
147.15,08:20:57,pre-test,92
148.62,08:20:58,pre-test,93
