EDA,timestamp,time_seconds,period
0.133258,08:52:49,-300.0,pre-test
0.146072,08:52:49,-299.75,pre-test
0.15376,08:52:49,-299.5,pre-test
0.142228,08:52:49,-299.25,pre-test
0.092256,08:52:50,-299.0,pre-test
0.07688,08:52:50,-298.75,pre-test
0.074317,08:52:50,-298.5,pre-test
0.07688,08:52:50,-298.25,pre-test
0.071755,08:52:51,-298.0,pre-test
0.078161,08:52:51,-297.75,pre-test
0.078161,08:52:51,-297.5,pre-test
0.073036,08:52:51,-297.25,pre-test
0.065348,08:52:52,-297.0,pre-test
0.033315,08:52:52,-296.75,pre-test
0.029471,08:52:52,-296.5,pre-test
0.033315,08:52:52,-296.25,pre-test
0.020501,08:52:53,-296.0,pre-test
0.023064,08:52:53,-295.75,pre-test
0.026908,08:52:53,-295.5,pre-test
0.002563,08:52:53,-295.25,pre-test
0.023064,08:52:54,-295.0,pre-test
0.028189,08:52:54,-294.75,pre-test
0.015376,08:52:54,-294.5,pre-test
0.028189,08:52:54,-294.25,pre-test
0.024345,08:52:55,-294.0,pre-test
0.0,08:52:55,-293.75,pre-test
0.021783,08:52:55,-293.5,pre-test
0.061504,08:52:55,-293.25,pre-test
0.082005,08:52:56,-293.0,pre-test
0.10635,08:52:56,-292.75,pre-test
0.128133,08:52:56,-292.5,pre-test
0.137102,08:52:56,-292.25,pre-test
0.146072,08:52:57,-292.0,pre-test
0.140946,08:52:57,-291.75,pre-test
0.143509,08:52:57,-291.5,pre-test
0.120445,08:52:57,-291.25,pre-test
0.097381,08:52:58,-291.0,pre-test
0.151197,08:52:58,-290.75,pre-test
0.181949,08:52:58,-290.5,pre-test
0.205013,08:52:58,-290.25,pre-test
0.201169,08:52:59,-290.0,pre-test
0.219108,08:52:59,-289.75,pre-test
0.184512,08:52:59,-289.5,pre-test
0.055097,08:52:59,-289.25,pre-test
0.023064,08:53:00,-289.0,pre-test
0.025627,08:53:00,-288.75,pre-test
0.023064,08:53:00,-288.5,pre-test
0.021783,08:53:00,-288.25,pre-test
0.024345,08:53:01,-288.0,pre-test
0.024345,08:53:01,-287.75,pre-test
0.023064,08:53:01,-287.5,pre-test
0.021783,08:53:01,-287.25,pre-test
0.023064,08:53:02,-287.0,pre-test
0.023064,08:53:02,-286.75,pre-test
0.024345,08:53:02,-286.5,pre-test
0.023064,08:53:02,-286.25,pre-test
0.021783,08:53:03,-286.0,pre-test
0.023064,08:53:03,-285.75,pre-test
0.021783,08:53:03,-285.5,pre-test
0.023064,08:53:03,-285.25,pre-test
0.023064,08:53:04,-285.0,pre-test
0.024345,08:53:04,-284.75,pre-test
0.024345,08:53:04,-284.5,pre-test
0.023064,08:53:04,-284.25,pre-test
0.021783,08:53:05,-284.0,pre-test
0.025627,08:53:05,-283.75,pre-test
0.024345,08:53:05,-283.5,pre-test
0.024345,08:53:05,-283.25,pre-test
0.023064,08:53:06,-283.0,pre-test
0.021783,08:53:06,-282.75,pre-test
0.023064,08:53:06,-282.5,pre-test
0.023064,08:53:06,-282.25,pre-test
0.023064,08:53:07,-282.0,pre-test
0.024345,08:53:07,-281.75,pre-test
0.021783,08:53:07,-281.5,pre-test
0.021783,08:53:07,-281.25,pre-test
0.024345,08:53:08,-281.0,pre-test
0.024345,08:53:08,-280.75,pre-test
0.021783,08:53:08,-280.5,pre-test
0.023064,08:53:08,-280.25,pre-test
0.024345,08:53:09,-280.0,pre-test
0.025627,08:53:09,-279.75,pre-test
0.024345,08:53:09,-279.5,pre-test
0.023064,08:53:09,-279.25,pre-test
0.024345,08:53:10,-279.0,pre-test
0.023064,08:53:10,-278.75,pre-test
0.021783,08:53:10,-278.5,pre-test
0.021783,08:53:10,-278.25,pre-test
0.024345,08:53:11,-278.0,pre-test
0.023064,08:53:11,-277.75,pre-test
0.025627,08:53:11,-277.5,pre-test
0.023064,08:53:11,-277.25,pre-test
0.023064,08:53:12,-277.0,pre-test
0.023064,08:53:12,-276.75,pre-test
0.021783,08:53:12,-276.5,pre-test
0.024345,08:53:12,-276.25,pre-test
0.023064,08:53:13,-276.0,pre-test
0.021783,08:53:13,-275.75,pre-test
0.021783,08:53:13,-275.5,pre-test
0.021783,08:53:13,-275.25,pre-test
0.021783,08:53:14,-275.0,pre-test
0.023064,08:53:14,-274.75,pre-test
