TEMP,timestamp,period,time_seconds
22.21,08:33:25,pre-test,-300.0
22.21,08:33:25,pre-test,-299.75
22.21,08:33:25,pre-test,-299.5
22.21,08:33:25,pre-test,-299.25
22.71,08:33:26,pre-test,-299.0
22.71,08:33:26,pre-test,-298.75
22.71,08:33:26,pre-test,-298.5
22.71,08:33:26,pre-test,-298.25
23.27,08:33:27,pre-test,-298.0
23.27,08:33:27,pre-test,-297.75
23.27,08:33:27,pre-test,-297.5
23.27,08:33:27,pre-test,-297.25
23.29,08:33:28,pre-test,-297.0
23.29,08:33:28,pre-test,-296.75
23.29,08:33:28,pre-test,-296.5
23.29,08:33:28,pre-test,-296.25
24.67,08:33:29,pre-test,-296.0
24.67,08:33:29,pre-test,-295.75
24.67,08:33:29,pre-test,-295.5
24.67,08:33:29,pre-test,-295.25
24.57,08:33:30,pre-test,-295.0
24.57,08:33:30,pre-test,-294.75
24.57,08:33:30,pre-test,-294.5
24.57,08:33:30,pre-test,-294.25
24.59,08:33:31,pre-test,-294.0
24.59,08:33:31,pre-test,-293.75
24.59,08:33:31,pre-test,-293.5
24.59,08:33:31,pre-test,-293.25
24.45,08:33:32,pre-test,-293.0
24.45,08:33:32,pre-test,-292.75
24.45,08:33:32,pre-test,-292.5
24.45,08:33:32,pre-test,-292.25
24.55,08:33:33,pre-test,-292.0
24.55,08:33:33,pre-test,-291.75
24.55,08:33:33,pre-test,-291.5
24.55,08:33:33,pre-test,-291.25
24.61,08:33:34,pre-test,-291.0
24.61,08:33:34,pre-test,-290.75
24.61,08:33:34,pre-test,-290.5
24.61,08:33:34,pre-test,-290.25
24.65,08:33:35,pre-test,-290.0
24.65,08:33:35,pre-test,-289.75
24.65,08:33:35,pre-test,-289.5
24.65,08:33:35,pre-test,-289.25
24.73,08:33:36,pre-test,-289.0
24.73,08:33:36,pre-test,-288.75
24.73,08:33:36,pre-test,-288.5
24.73,08:33:36,pre-test,-288.25
24.49,08:33:37,pre-test,-288.0
24.49,08:33:37,pre-test,-287.75
24.49,08:33:37,pre-test,-287.5
24.49,08:33:37,pre-test,-287.25
24.85,08:33:38,pre-test,-287.0
24.85,08:33:38,pre-test,-286.75
24.85,08:33:38,pre-test,-286.5
24.85,08:33:38,pre-test,-286.25
24.83,08:33:39,pre-test,-286.0
24.83,08:33:39,pre-test,-285.75
24.83,08:33:39,pre-test,-285.5
24.83,08:33:39,pre-test,-285.25
24.85,08:33:40,pre-test,-285.0
24.85,08:33:40,pre-test,-284.75
24.85,08:33:40,pre-test,-284.5
24.85,08:33:40,pre-test,-284.25
24.89,08:33:41,pre-test,-284.0
24.89,08:33:41,pre-test,-283.75
24.89,08:33:41,pre-test,-283.5
24.89,08:33:41,pre-test,-283.25
24.93,08:33:42,pre-test,-283.0
24.93,08:33:42,pre-test,-282.75
24.93,08:33:42,pre-test,-282.5
24.93,08:33:42,pre-test,-282.25
24.95,08:33:43,pre-test,-282.0
24.95,08:33:43,pre-test,-281.75
24.95,08:33:43,pre-test,-281.5
24.95,08:33:43,pre-test,-281.25
24.97,08:33:44,pre-test,-281.0
24.97,08:33:44,pre-test,-280.75
24.97,08:33:44,pre-test,-280.5
24.97,08:33:44,pre-test,-280.25
24.91,08:33:45,pre-test,-280.0
24.91,08:33:45,pre-test,-279.75
24.91,08:33:45,pre-test,-279.5
24.91,08:33:45,pre-test,-279.25
25.07,08:33:46,pre-test,-279.0
25.07,08:33:46,pre-test,-278.75
25.07,08:33:46,pre-test,-278.5
25.07,08:33:46,pre-test,-278.25
25.23,08:33:47,pre-test,-278.0
25.23,08:33:47,pre-test,-277.75
25.23,08:33:47,pre-test,-277.5
25.23,08:33:47,pre-test,-277.25
25.39,08:33:48,pre-test,-277.0
25.39,08:33:48,pre-test,-276.75
25.39,08:33:48,pre-test,-276.5
25.39,08:33:48,pre-test,-276.25
25.27,08:33:49,pre-test,-276.0
25.27,08:33:49,pre-test,-275.75
25.27,08:33:49,pre-test,-275.5
25.27,08:33:49,pre-test,-275.25
25.33,08:33:50,pre-test,-275.0
25.33,08:33:50,pre-test,-274.75
25.33,08:33:50,pre-test,-274.5
25.33,08:33:50,pre-test,-274.25
25.29,08:33:51,pre-test,-274.0
25.29,08:33:51,pre-test,-273.75
25.29,08:33:51,pre-test,-273.5
25.29,08:33:51,pre-test,-273.25
25.37,08:33:52,pre-test,-273.0
25.37,08:33:52,pre-test,-272.75
25.37,08:33:52,pre-test,-272.5
25.37,08:33:52,pre-test,-272.25
25.45,08:33:53,pre-test,-272.0
25.45,08:33:53,pre-test,-271.75
25.45,08:33:53,pre-test,-271.5
25.45,08:33:53,pre-test,-271.25
25.51,08:33:54,pre-test,-271.0
25.51,08:33:54,pre-test,-270.75
25.51,08:33:54,pre-test,-270.5
25.51,08:33:54,pre-test,-270.25
25.53,08:33:55,pre-test,-270.0
25.53,08:33:55,pre-test,-269.75
25.53,08:33:55,pre-test,-269.5
25.53,08:33:55,pre-test,-269.25
25.47,08:33:56,pre-test,-269.0
25.47,08:33:56,pre-test,-268.75
25.47,08:33:56,pre-test,-268.5
25.47,08:33:56,pre-test,-268.25
25.37,08:33:57,pre-test,-268.0
25.37,08:33:57,pre-test,-267.75
25.37,08:33:57,pre-test,-267.5
25.37,08:33:57,pre-test,-267.25
25.41,08:33:58,pre-test,-267.0
25.41,08:33:58,pre-test,-266.75
25.41,08:33:58,pre-test,-266.5
25.41,08:33:58,pre-test,-266.25
25.45,08:33:59,pre-test,-266.0
25.45,08:33:59,pre-test,-265.75
25.45,08:33:59,pre-test,-265.5
25.45,08:33:59,pre-test,-265.25
25.41,08:34:00,pre-test,-265.0
25.41,08:34:00,pre-test,-264.75
25.41,08:34:00,pre-test,-264.5
25.41,08:34:00,pre-test,-264.25
25.41,08:34:01,pre-test,-264.0
25.41,08:34:01,pre-test,-263.75
25.41,08:34:01,pre-test,-263.5
25.41,08:34:01,pre-test,-263.25
25.37,08:34:02,pre-test,-263.0
25.37,08:34:02,pre-test,-262.75
25.37,08:34:02,pre-test,-262.5
25.37,08:34:02,pre-test,-262.25
25.41,08:34:03,pre-test,-262.0
25.41,08:34:03,pre-test,-261.75
25.41,08:34:03,pre-test,-261.5
25.41,08:34:03,pre-test,-261.25
25.61,08:34:04,pre-test,-261.0
25.61,08:34:04,pre-test,-260.75
25.61,08:34:04,pre-test,-260.5
25.61,08:34:04,pre-test,-260.25
25.71,08:34:05,pre-test,-260.0
25.71,08:34:05,pre-test,-259.75
25.71,08:34:05,pre-test,-259.5
25.71,08:34:05,pre-test,-259.25
25.67,08:34:06,pre-test,-259.0
25.67,08:34:06,pre-test,-258.75
25.67,08:34:06,pre-test,-258.5
25.67,08:34:06,pre-test,-258.25
25.61,08:34:07,pre-test,-258.0
25.61,08:34:07,pre-test,-257.75
25.61,08:34:07,pre-test,-257.5
25.61,08:34:07,pre-test,-257.25
25.59,08:34:08,pre-test,-257.0
25.59,08:34:08,pre-test,-256.75
25.59,08:34:08,pre-test,-256.5
25.59,08:34:08,pre-test,-256.25
25.59,08:34:09,pre-test,-256.0
25.59,08:34:09,pre-test,-255.75
25.59,08:34:09,pre-test,-255.5
25.59,08:34:09,pre-test,-255.25
25.59,08:34:10,pre-test,-255.0
25.59,08:34:10,pre-test,-254.75
25.59,08:34:10,pre-test,-254.5
25.59,08:34:10,pre-test,-254.25
25.57,08:34:11,pre-test,-254.0
25.57,08:34:11,pre-test,-253.75
25.57,08:34:11,pre-test,-253.5
25.57,08:34:11,pre-test,-253.25
25.57,08:34:12,pre-test,-253.0
25.57,08:34:12,pre-test,-252.75
25.57,08:34:12,pre-test,-252.5
25.57,08:34:12,pre-test,-252.25
25.53,08:34:13,pre-test,-252.0
25.53,08:34:13,pre-test,-251.75
25.53,08:34:13,pre-test,-251.5
25.53,08:34:13,pre-test,-251.25
25.55,08:34:14,pre-test,-251.0
25.55,08:34:14,pre-test,-250.75
25.55,08:34:14,pre-test,-250.5
25.55,08:34:14,pre-test,-250.25
25.55,08:34:15,pre-test,-250.0
25.55,08:34:15,pre-test,-249.75
25.55,08:34:15,pre-test,-249.5
25.55,08:34:15,pre-test,-249.25
25.59,08:34:16,pre-test,-249.0
25.59,08:34:16,pre-test,-248.75
25.59,08:34:16,pre-test,-248.5
25.59,08:34:16,pre-test,-248.25
25.59,08:34:17,pre-test,-248.0
25.59,08:34:17,pre-test,-247.75
