HR,timestamp,period,time_seconds
110.22,08:43:46,pre-test,-300
110.3,08:43:47,pre-test,-299
110.23,08:43:48,pre-test,-298
110.2,08:43:49,pre-test,-297
110.2,08:43:50,pre-test,-296
110.2,08:43:51,pre-test,-295
110.22,08:43:52,pre-test,-294
110.32,08:43:53,pre-test,-293
110.48,08:43:54,pre-test,-292
110.83,08:43:55,pre-test,-291
111.13,08:43:56,pre-test,-290
111.4,08:43:57,pre-test,-289
111.57,08:43:58,pre-test,-288
111.62,08:43:59,pre-test,-287
111.67,08:44:00,pre-test,-286
111.65,08:44:01,pre-test,-285
111.67,08:44:02,pre-test,-284
111.73,08:44:03,pre-test,-283
111.72,08:44:04,pre-test,-282
111.65,08:44:05,pre-test,-281
111.58,08:44:06,pre-test,-280
111.63,08:44:07,pre-test,-279
111.6,08:44:08,pre-test,-278
111.43,08:44:09,pre-test,-277
111.27,08:44:10,pre-test,-276
111.1,08:44:11,pre-test,-275
110.92,08:44:12,pre-test,-274
110.75,08:44:13,pre-test,-273
110.57,08:44:14,pre-test,-272
110.42,08:44:15,pre-test,-271
110.22,08:44:16,pre-test,-270
110.0,08:44:17,pre-test,-269
109.6,08:44:18,pre-test,-268
109.12,08:44:19,pre-test,-267
108.62,08:44:20,pre-test,-266
108.17,08:44:21,pre-test,-265
107.68,08:44:22,pre-test,-264
107.18,08:44:23,pre-test,-263
106.68,08:44:24,pre-test,-262
106.2,08:44:25,pre-test,-261
105.75,08:44:26,pre-test,-260
105.33,08:44:27,pre-test,-259
105.07,08:44:28,pre-test,-258
104.77,08:44:29,pre-test,-257
104.47,08:44:30,pre-test,-256
104.18,08:44:31,pre-test,-255
103.9,08:44:32,pre-test,-254
103.58,08:44:33,pre-test,-253
103.48,08:44:34,pre-test,-252
103.33,08:44:35,pre-test,-251
103.28,08:44:36,pre-test,-250
102.53,08:44:37,pre-test,-249
101.75,08:44:38,pre-test,-248
100.87,08:44:39,pre-test,-247
100.0,08:44:40,pre-test,-246
99.17,08:44:41,pre-test,-245
98.37,08:44:42,pre-test,-244
97.95,08:44:43,pre-test,-243
97.55,08:44:44,pre-test,-242
97.2,08:44:45,pre-test,-241
96.78,08:44:46,pre-test,-240
96.17,08:44:47,pre-test,-239
95.72,08:44:48,pre-test,-238
95.27,08:44:49,pre-test,-237
94.83,08:44:50,pre-test,-236
94.48,08:44:51,pre-test,-235
94.23,08:44:52,pre-test,-234
93.9,08:44:53,pre-test,-233
93.67,08:44:54,pre-test,-232
93.3,08:44:55,pre-test,-231
92.93,08:44:56,pre-test,-230
92.55,08:44:57,pre-test,-229
92.28,08:44:58,pre-test,-228
92.12,08:44:59,pre-test,-227
91.93,08:45:00,pre-test,-226
91.73,08:45:01,pre-test,-225
91.55,08:45:02,pre-test,-224
91.32,08:45:03,pre-test,-223
91.27,08:45:04,pre-test,-222
91.32,08:45:05,pre-test,-221
91.38,08:45:06,pre-test,-220
91.43,08:45:07,pre-test,-219
91.9,08:45:08,pre-test,-218
92.6,08:45:09,pre-test,-217
93.35,08:45:10,pre-test,-216
94.12,08:45:11,pre-test,-215
94.88,08:45:12,pre-test,-214
95.63,08:45:13,pre-test,-213
96.38,08:45:14,pre-test,-212
97.1,08:45:15,pre-test,-211
97.8,08:45:16,pre-test,-210
98.52,08:45:17,pre-test,-209
99.42,08:45:18,pre-test,-208
100.37,08:45:19,pre-test,-207
101.35,08:45:20,pre-test,-206
102.27,08:45:21,pre-test,-205
103.22,08:45:22,pre-test,-204
104.18,08:45:23,pre-test,-203
105.15,08:45:24,pre-test,-202
106.1,08:45:25,pre-test,-201
106.72,08:45:26,pre-test,-200
107.3,08:45:27,pre-test,-199
107.75,08:45:28,pre-test,-198
108.23,08:45:29,pre-test,-197
108.72,08:45:30,pre-test,-196
109.18,08:45:31,pre-test,-195
109.65,08:45:32,pre-test,-194
110.17,08:45:33,pre-test,-193
110.67,08:45:34,pre-test,-192
111.2,08:45:35,pre-test,-191
111.65,08:45:36,pre-test,-190
112.18,08:45:37,pre-test,-189
112.88,08:45:38,pre-test,-188
113.75,08:45:39,pre-test,-187
114.6,08:45:40,pre-test,-186
115.45,08:45:41,pre-test,-185
116.28,08:45:42,pre-test,-184
116.83,08:45:43,pre-test,-183
117.4,08:45:44,pre-test,-182
118.0,08:45:45,pre-test,-181
118.72,08:45:46,pre-test,-180
119.63,08:45:47,pre-test,-179
120.35,08:45:48,pre-test,-178
121.1,08:45:49,pre-test,-177
121.85,08:45:50,pre-test,-176
