EDA,timestamp,period,time_seconds
0.0,10:28:57,in-test,0.0
0.005125,10:28:57,in-test,0.25
0.020501,10:28:57,in-test,0.5
0.021783,10:28:57,in-test,0.75
0.023064,10:28:58,in-test,1.0
0.024345,10:28:58,in-test,1.25
0.023064,10:28:58,in-test,1.5
0.021783,10:28:58,in-test,1.75
0.023064,10:28:59,in-test,2.0
0.024345,10:28:59,in-test,2.25
0.024345,10:28:59,in-test,2.5
0.023064,10:28:59,in-test,2.75
0.023064,10:29:00,in-test,3.0
0.024345,10:29:00,in-test,3.25
0.023064,10:29:00,in-test,3.5
0.023064,10:29:00,in-test,3.75
0.021783,10:29:01,in-test,4.0
0.024345,10:29:01,in-test,4.25
0.024345,10:29:01,in-test,4.5
0.024345,10:29:01,in-test,4.75
0.023064,10:29:02,in-test,5.0
0.024345,10:29:02,in-test,5.25
0.024345,10:29:02,in-test,5.5
0.024345,10:29:02,in-test,5.75
0.023064,10:29:03,in-test,6.0
0.024345,10:29:03,in-test,6.25
0.024345,10:29:03,in-test,6.5
0.024345,10:29:03,in-test,6.75
0.025627,10:29:04,in-test,7.0
0.021783,10:29:04,in-test,7.25
0.023064,10:29:04,in-test,7.5
0.024345,10:29:04,in-test,7.75
0.024345,10:29:05,in-test,8.0
0.021783,10:29:05,in-test,8.25
0.023064,10:29:05,in-test,8.5
0.024345,10:29:05,in-test,8.75
0.024345,10:29:06,in-test,9.0
0.024345,10:29:06,in-test,9.25
0.023064,10:29:06,in-test,9.5
0.023064,10:29:06,in-test,9.75
0.024345,10:29:07,in-test,10.0
0.023064,10:29:07,in-test,10.25
0.024345,10:29:07,in-test,10.5
0.023064,10:29:07,in-test,10.75
0.023064,10:29:08,in-test,11.0
0.023064,10:29:08,in-test,11.25
0.024345,10:29:08,in-test,11.5
0.023064,10:29:08,in-test,11.75
0.023064,10:29:09,in-test,12.0
0.021783,10:29:09,in-test,12.25
0.024345,10:29:09,in-test,12.5
0.024345,10:29:09,in-test,12.75
0.024345,10:29:10,in-test,13.0
0.021783,10:29:10,in-test,13.25
0.021783,10:29:10,in-test,13.5
0.024345,10:29:10,in-test,13.75
0.024345,10:29:11,in-test,14.0
0.024345,10:29:11,in-test,14.25
0.023064,10:29:11,in-test,14.5
0.021783,10:29:11,in-test,14.75
0.024345,10:29:12,in-test,15.0
0.025627,10:29:12,in-test,15.25
0.023064,10:29:12,in-test,15.5
0.023064,10:29:12,in-test,15.75
0.023064,10:29:13,in-test,16.0
0.024345,10:29:13,in-test,16.25
0.024345,10:29:13,in-test,16.5
0.024345,10:29:13,in-test,16.75
0.023064,10:29:14,in-test,17.0
0.024345,10:29:14,in-test,17.25
0.024345,10:29:14,in-test,17.5
0.024345,10:29:14,in-test,17.75
0.023064,10:29:15,in-test,18.0
0.021783,10:29:15,in-test,18.25
0.023064,10:29:15,in-test,18.5
0.024345,10:29:15,in-test,18.75
0.024345,10:29:16,in-test,19.0
0.023064,10:29:16,in-test,19.25
0.023064,10:29:16,in-test,19.5
0.024345,10:29:16,in-test,19.75
0.024345,10:29:17,in-test,20.0
0.024345,10:29:17,in-test,20.25
0.020501,10:29:17,in-test,20.5
0.023064,10:29:17,in-test,20.75
0.024345,10:29:18,in-test,21.0
0.024345,10:29:18,in-test,21.25
0.024345,10:29:18,in-test,21.5
0.021783,10:29:18,in-test,21.75
0.023064,10:29:19,in-test,22.0
0.024345,10:29:19,in-test,22.25
0.023064,10:29:19,in-test,22.5
0.023064,10:29:19,in-test,22.75
0.023064,10:29:20,in-test,23.0
0.025627,10:29:20,in-test,23.25
0.024345,10:29:20,in-test,23.5
0.021783,10:29:20,in-test,23.75
0.023064,10:29:21,in-test,24.0
0.024345,10:29:21,in-test,24.25
0.023064,10:29:21,in-test,24.5
0.023064,10:29:21,in-test,24.75
0.024345,10:29:22,in-test,25.0
0.024345,10:29:22,in-test,25.25
0.024345,10:29:22,in-test,25.5
0.021783,10:29:22,in-test,25.75
0.025627,10:29:23,in-test,26.0
0.024345,10:29:23,in-test,26.25
0.024345,10:29:23,in-test,26.5
0.024345,10:29:23,in-test,26.75
0.023064,10:29:24,in-test,27.0
0.023064,10:29:24,in-test,27.25
0.024345,10:29:24,in-test,27.5
0.021783,10:29:24,in-test,27.75
0.024345,10:29:25,in-test,28.0
0.024345,10:29:25,in-test,28.25
0.021783,10:29:25,in-test,28.5
0.023064,10:29:25,in-test,28.75
0.024345,10:29:26,in-test,29.0
0.023064,10:29:26,in-test,29.25
0.024345,10:29:26,in-test,29.5
0.021783,10:29:26,in-test,29.75
0.024345,10:29:27,in-test,30.0
0.023064,10:29:27,in-test,30.25
0.024345,10:29:27,in-test,30.5
0.023064,10:29:27,in-test,30.75
0.023064,10:29:28,in-test,31.0
0.024345,10:29:28,in-test,31.25
0.024345,10:29:28,in-test,31.5
0.025627,10:29:28,in-test,31.75
0.023064,10:29:29,in-test,32.0
0.023064,10:29:29,in-test,32.25
0.024345,10:29:29,in-test,32.5
0.024345,10:29:29,in-test,32.75
0.024345,10:29:30,in-test,33.0
0.025627,10:29:30,in-test,33.25
0.023064,10:29:30,in-test,33.5
0.024345,10:29:30,in-test,33.75
0.024345,10:29:31,in-test,34.0
0.023064,10:29:31,in-test,34.25
0.023064,10:29:31,in-test,34.5
0.023064,10:29:31,in-test,34.75
0.023064,10:29:32,in-test,35.0
0.024345,10:29:32,in-test,35.25
0.023064,10:29:32,in-test,35.5
0.023064,10:29:32,in-test,35.75
0.024345,10:29:33,in-test,36.0
0.023064,10:29:33,in-test,36.25
0.025627,10:29:33,in-test,36.5
0.021783,10:29:33,in-test,36.75
0.021783,10:29:34,in-test,37.0
0.024345,10:29:34,in-test,37.25
0.023064,10:29:34,in-test,37.5
0.024345,10:29:34,in-test,37.75
0.025627,10:29:35,in-test,38.0
0.023064,10:29:35,in-test,38.25
0.024345,10:29:35,in-test,38.5
0.023064,10:29:35,in-test,38.75
0.023064,10:29:36,in-test,39.0
0.025627,10:29:36,in-test,39.25
0.025627,10:29:36,in-test,39.5
0.020501,10:29:36,in-test,39.75
0.024345,10:29:37,in-test,40.0
0.024345,10:29:37,in-test,40.25
0.020501,10:29:37,in-test,40.5
0.023064,10:29:37,in-test,40.75
0.024345,10:29:38,in-test,41.0
0.025627,10:29:38,in-test,41.25
0.023064,10:29:38,in-test,41.5
0.024345,10:29:38,in-test,41.75
0.023064,10:29:39,in-test,42.0
0.024345,10:29:39,in-test,42.25
0.021783,10:29:39,in-test,42.5
0.023064,10:29:39,in-test,42.75
0.024345,10:29:40,in-test,43.0
0.023064,10:29:40,in-test,43.25
0.023064,10:29:40,in-test,43.5
0.023064,10:29:40,in-test,43.75
0.023064,10:29:41,in-test,44.0
0.024345,10:29:41,in-test,44.25
0.024345,10:29:41,in-test,44.5
0.025627,10:29:41,in-test,44.75
0.021783,10:29:42,in-test,45.0
0.023064,10:29:42,in-test,45.25
0.024345,10:29:42,in-test,45.5
0.024345,10:29:42,in-test,45.75
0.023064,10:29:43,in-test,46.0
0.023064,10:29:43,in-test,46.25
0.024345,10:29:43,in-test,46.5
0.021783,10:29:43,in-test,46.75
0.024345,10:29:44,in-test,47.0
0.023064,10:29:44,in-test,47.25
0.023064,10:29:44,in-test,47.5
0.023064,10:29:44,in-test,47.75
0.024345,10:29:45,in-test,48.0
0.025627,10:29:45,in-test,48.25
0.024345,10:29:45,in-test,48.5
0.023064,10:29:45,in-test,48.75
0.023064,10:29:46,in-test,49.0
0.024345,10:29:46,in-test,49.25
0.023064,10:29:46,in-test,49.5
0.023064,10:29:46,in-test,49.75
0.021783,10:29:47,in-test,50.0
0.025627,10:29:47,in-test,50.25
0.023064,10:29:47,in-test,50.5
0.023064,10:29:47,in-test,50.75
0.023064,10:29:48,in-test,51.0
0.023064,10:29:48,in-test,51.25
0.024345,10:29:48,in-test,51.5
0.023064,10:29:48,in-test,51.75
0.021783,10:29:49,in-test,52.0
0.024345,10:29:49,in-test,52.25
0.024345,10:29:49,in-test,52.5
0.024345,10:29:49,in-test,52.75
0.025627,10:29:50,in-test,53.0
0.023064,10:29:50,in-test,53.25
0.023064,10:29:50,in-test,53.5
0.024345,10:29:50,in-test,53.75
0.023064,10:29:51,in-test,54.0
0.025627,10:29:51,in-test,54.25
0.023064,10:29:51,in-test,54.5
0.023064,10:29:51,in-test,54.75
0.021783,10:29:52,in-test,55.0
0.023064,10:29:52,in-test,55.25
0.021783,10:29:52,in-test,55.5
0.024345,10:29:52,in-test,55.75
0.021783,10:29:53,in-test,56.0
0.023064,10:29:53,in-test,56.25
0.024345,10:29:53,in-test,56.5
0.023064,10:29:53,in-test,56.75
0.023064,10:29:54,in-test,57.0
0.024345,10:29:54,in-test,57.25
0.024345,10:29:54,in-test,57.5
0.023064,10:29:54,in-test,57.75
0.023064,10:29:55,in-test,58.0
0.024345,10:29:55,in-test,58.25
0.024345,10:29:55,in-test,58.5
0.023064,10:29:55,in-test,58.75
0.024345,10:29:56,in-test,59.0
0.024345,10:29:56,in-test,59.25
0.024345,10:29:56,in-test,59.5
0.023064,10:29:56,in-test,59.75
0.021783,10:29:57,in-test,60.0
0.023064,10:29:57,in-test,60.25
0.021783,10:29:57,in-test,60.5
0.024345,10:29:57,in-test,60.75
0.024345,10:29:58,in-test,61.0
0.024345,10:29:58,in-test,61.25
0.023064,10:29:58,in-test,61.5
0.024345,10:29:58,in-test,61.75
0.024345,10:29:59,in-test,62.0
0.023064,10:29:59,in-test,62.25
0.024345,10:29:59,in-test,62.5
0.024345,10:29:59,in-test,62.75
0.024345,10:30:00,in-test,63.0
0.024345,10:30:00,in-test,63.25
0.023064,10:30:00,in-test,63.5
0.023064,10:30:00,in-test,63.75
0.021783,10:30:01,in-test,64.0
0.024345,10:30:01,in-test,64.25
0.023064,10:30:01,in-test,64.5
0.024345,10:30:01,in-test,64.75
0.026908,10:30:02,in-test,65.0
0.023064,10:30:02,in-test,65.25
0.024345,10:30:02,in-test,65.5
0.023064,10:30:02,in-test,65.75
0.021783,10:30:03,in-test,66.0
0.023064,10:30:03,in-test,66.25
0.021783,10:30:03,in-test,66.5
0.024345,10:30:03,in-test,66.75
0.023064,10:30:04,in-test,67.0
0.023064,10:30:04,in-test,67.25
0.024345,10:30:04,in-test,67.5
0.021783,10:30:04,in-test,67.75
0.023064,10:30:05,in-test,68.0
0.021783,10:30:05,in-test,68.25
0.026908,10:30:05,in-test,68.5
0.024345,10:30:05,in-test,68.75
0.021783,10:30:06,in-test,69.0
0.021783,10:30:06,in-test,69.25
0.023064,10:30:06,in-test,69.5
0.026908,10:30:06,in-test,69.75
0.023064,10:30:07,in-test,70.0
0.025627,10:30:07,in-test,70.25
0.023064,10:30:07,in-test,70.5
0.024345,10:30:07,in-test,70.75
0.024345,10:30:08,in-test,71.0
0.024345,10:30:08,in-test,71.25
0.024345,10:30:08,in-test,71.5
0.023064,10:30:08,in-test,71.75
0.021783,10:30:09,in-test,72.0
0.023064,10:30:09,in-test,72.25
0.024345,10:30:09,in-test,72.5
0.024345,10:30:09,in-test,72.75
0.023064,10:30:10,in-test,73.0
0.023064,10:30:10,in-test,73.25
0.023064,10:30:10,in-test,73.5
0.024345,10:30:10,in-test,73.75
0.025627,10:30:11,in-test,74.0
0.023064,10:30:11,in-test,74.25
0.023064,10:30:11,in-test,74.5
0.023064,10:30:11,in-test,74.75
0.024345,10:30:12,in-test,75.0
0.024345,10:30:12,in-test,75.25
0.025627,10:30:12,in-test,75.5
0.023064,10:30:12,in-test,75.75
0.024345,10:30:13,in-test,76.0
0.024345,10:30:13,in-test,76.25
0.021783,10:30:13,in-test,76.5
0.023064,10:30:13,in-test,76.75
0.023064,10:30:14,in-test,77.0
