EDA,time_seconds,period
0.105076,-300.0,pre-test
0.058945,-299.75,pre-test
0.053819,-299.5,pre-test
0.024347,-299.25,pre-test
0.02691,-299.0,pre-test
0.089699,-298.75,pre-test
0.085854,-298.5,pre-test
0.112764,-298.25,pre-test
0.030754,-298.0,pre-test
0.394674,-297.75,pre-test
0.37289,-297.5,pre-test
0.36392,-297.25,pre-test
0.338292,-297.0,pre-test
0.34598,-296.75,pre-test
0.321633,-296.5,pre-test
0.494624,-296.25,pre-test
0.640704,-296.0,pre-test
0.548443,-295.75,pre-test
0.512563,-295.5,pre-test
0.304975,-295.25,pre-test
0.520252,-295.0,pre-test
0.522815,-294.75,pre-test
0.429272,-294.5,pre-test
0.466433,-294.25,pre-test
0.415176,-294.0,pre-test
0.057663,-293.75,pre-test
0.228091,-293.5,pre-test
0.362639,-293.25,pre-test
0.110201,-293.0,pre-test
0.18196,-292.75,pre-test
0.025628,-292.5,pre-test
0.025628,-292.25,pre-test
0.023065,-292.0,pre-test
0.023065,-291.75,pre-test
0.024347,-291.5,pre-test
0.07304,-291.25,pre-test
0.06407,-291.0,pre-test
0.025628,-290.75,pre-test
0.165302,-290.5,pre-test
0.176834,-290.25,pre-test
0.189648,-290.0,pre-test
0.224246,-289.75,pre-test
0.316508,-289.5,pre-test
0.457463,-289.25,pre-test
0.495905,-289.0,pre-test
0.540754,-288.75,pre-test
0.540754,-288.5,pre-test
0.552287,-288.25,pre-test
0.571508,-288.0,pre-test
0.595855,-287.75,pre-test
0.607388,-287.5,pre-test
0.641986,-287.25,pre-test
0.656081,-287.0,pre-test
0.641986,-286.75,pre-test
0.670177,-286.5,pre-test
1.111248,-286.25,pre-test
1.520086,-286.0,pre-test
1.900764,-285.75,pre-test
0.801315,-285.5,pre-test
0.443703,-285.25,pre-test
0.491046,-285.0,pre-test
0.485921,-284.75,pre-test
0.763986,-284.5,pre-test
0.665318,-284.25,pre-test
0.655067,-284.0,pre-test
0.53974,-283.75,pre-test
0.514112,-283.5,pre-test
0.5218,-283.25,pre-test
0.515393,-283.0,pre-test
0.50386,-282.75,pre-test
0.473107,-282.5,pre-test
0.464137,-282.25,pre-test
0.444916,-282.0,pre-test
0.482076,-281.75,pre-test
0.498735,-281.5,pre-test
0.511549,-281.25,pre-test
0.505142,-281.0,pre-test
0.483358,-280.75,pre-test
0.502579,-280.5,pre-test
0.491046,-280.25,pre-test
0.479514,-280.0,pre-test
0.482076,-279.75,pre-test
0.482076,-279.5,pre-test
0.485921,-279.25,pre-test
0.45773,-279.0,pre-test
0.469262,-278.75,pre-test
0.489765,-278.5,pre-test
0.478232,-278.25,pre-test
0.474388,-278.0,pre-test
0.296272,-277.75,pre-test
0.302679,-277.5,pre-test
0.283458,-277.25,pre-test
0.541021,-277.0,pre-test
0.599966,-276.75,pre-test
0.582026,-276.5,pre-test
0.098935,-276.25,pre-test
0.265518,-276.0,pre-test
0.328307,-275.75,pre-test
0.379564,-275.5,pre-test
0.487202,-275.25,pre-test
0.625594,-275.0,pre-test
0.687102,-274.75,pre-test
0.728107,-274.5,pre-test
0.708886,-274.25,pre-test
0.687102,-274.0,pre-test
0.571775,-273.75,pre-test
0.662755,-273.5,pre-test
0.665318,-273.25,pre-test
0.661474,-273.0,pre-test
0.632001,-272.75,pre-test
0.649941,-272.5,pre-test
0.629438,-272.25,pre-test
0.596122,-272.0,pre-test
0.533333,-271.75,pre-test
0.514112,-271.5,pre-test
0.59484,-271.25,pre-test
0.651222,-271.0,pre-test
0.610217,-270.75,pre-test
0.296272,-270.5,pre-test
0.459011,-270.25,pre-test
0.469262,-270.0,pre-test
0.473107,-269.75,pre-test
0.478232,-269.5,pre-test
0.617906,-269.25,pre-test
0.601247,-269.0,pre-test
0.635845,-268.75,pre-test
0.706323,-268.5,pre-test
0.76783,-268.25,pre-test
0.78577,-268.0,pre-test
0.798584,-267.75,pre-test
0.842152,-267.5,pre-test
0.879313,-267.25,pre-test
0.838308,-267.0,pre-test
0.870343,-266.75,pre-test
0.893408,-266.5,pre-test
0.910067,-266.25,pre-test
0.89469,-266.0,pre-test
0.925444,-265.75,pre-test
0.953635,-265.5,pre-test
0.945946,-265.25,pre-test
0.938258,-265.0,pre-test
0.935695,-264.75,pre-test
0.938258,-264.5,pre-test
0.954916,-264.25,pre-test
0.899815,-264.0,pre-test
0.811398,-263.75,pre-test
0.740921,-263.5,pre-test
0.708886,-263.25,pre-test
0.696072,-263.0,pre-test
0.664036,-262.75,pre-test
0.615343,-262.5,pre-test
0.670443,-262.25,pre-test
0.70376,-262.0,pre-test
0.716574,-261.75,pre-test
0.64866,-261.5,pre-test
0.620468,-261.25,pre-test
0.665318,-261.0,pre-test
0.710167,-260.75,pre-test
0.70376,-260.5,pre-test
0.671725,-260.25,pre-test
0.707604,-260.0,pre-test
0.717856,-259.75,pre-test
0.758861,-259.5,pre-test
0.781926,-259.25,pre-test
0.784489,-259.0,pre-test
0.770393,-258.75,pre-test
0.746047,-258.5,pre-test
0.655067,-258.25,pre-test
0.43082,-258.0,pre-test
0.524363,-257.75,pre-test
0.580745,-257.5,pre-test
0.590996,-257.25,pre-test
0.606373,-257.0,pre-test
0.580745,-256.75,pre-test
0.561524,-256.5,pre-test
0.570494,-256.25,pre-test
0.585871,-256.0,pre-test
0.592278,-255.75,pre-test
0.589715,-255.5,pre-test
0.584589,-255.25,pre-test
0.596122,-255.0,pre-test
0.556398,-254.75,pre-test
0.488483,-254.5,pre-test
0.489765,-254.25,pre-test
0.491046,-254.0,pre-test
0.400066,-253.75,pre-test
0.452604,-253.5,pre-test
0.485921,-253.25,pre-test
0.496172,-253.0,pre-test
0.494891,-252.75,pre-test
0.533333,-252.5,pre-test
0.608936,-252.25,pre-test
0.638408,-252.0,pre-test
0.658911,-251.75,pre-test
0.665318,-251.5,pre-test
0.678132,-251.25,pre-test
0.680695,-251.0,pre-test
0.653785,-250.75,pre-test
0.61278,-250.5,pre-test
0.598685,-250.25,pre-test
0.589715,-250.0,pre-test
0.573056,-249.75,pre-test
0.561524,-249.5,pre-test
0.576901,-249.25,pre-test
0.629438,-249.0,pre-test
0.658911,-248.75,pre-test
0.693509,-248.5,pre-test
0.720418,-248.25,pre-test
0.740921,-248.0,pre-test
0.756298,-247.75,pre-test
0.760142,-247.5,pre-test
0.765268,-247.25,pre-test
0.758861,-247.0,pre-test
0.752454,-246.75,pre-test
0.735795,-246.5,pre-test
0.722981,-246.25,pre-test
0.714011,-246.0,pre-test
0.710167,-245.75,pre-test
0.656348,-245.5,pre-test
0.647378,-245.25,pre-test
0.616624,-245.0,pre-test
0.616624,-244.75,pre-test
0.63072,-244.5,pre-test
0.632001,-244.25,pre-test
0.726825,-244.0,pre-test
0.778082,-243.75,pre-test
0.79474,-243.5,pre-test
0.778082,-243.25,pre-test
0.804991,-243.0,pre-test
0.802428,-242.75,pre-test
0.802428,-242.5,pre-test
0.787052,-242.25,pre-test
0.758861,-242.0,pre-test
0.735795,-241.75,pre-test
0.743484,-241.5,pre-test
0.79474,-241.25,pre-test
0.79474,-241.0,pre-test
0.778082,-240.75,pre-test
0.780645,-240.5,pre-test
0.778082,-240.25,pre-test
0.681976,-240.0,pre-test
0.707604,-239.75,pre-test
0.661474,-239.5,pre-test
0.667881,-239.25,pre-test
0.693509,-239.0,pre-test
0.689665,-238.75,pre-test
0.699916,-238.5,pre-test
0.651222,-238.25,pre-test
0.653785,-238.0,pre-test
0.63072,-237.75,pre-test
0.626876,-237.5,pre-test
0.620468,-237.25,pre-test
0.64866,-237.0,pre-test
0.626876,-236.75,pre-test
0.570494,-236.5,pre-test
0.593559,-236.25,pre-test
0.610217,-236.0,pre-test
