HR,timestamp,period,time_seconds
116.0,10:29:07,in-test,0
82.5,10:29:08,in-test,1
96.33,10:29:09,in-test,2
86.25,10:29:10,in-test,3
98.6,10:29:11,in-test,4
107.5,10:29:12,in-test,5
113.71,10:29:13,in-test,6
107.38,10:29:14,in-test,7
111.56,10:29:15,in-test,8
106.4,10:29:16,in-test,9
109.36,10:29:17,in-test,10
110.75,10:29:18,in-test,11
111.92,10:29:19,in-test,12
112.14,10:29:20,in-test,13
110.8,10:29:21,in-test,14
109.56,10:29:22,in-test,15
108.53,10:29:23,in-test,16
107.61,10:29:24,in-test,17
110.21,10:29:25,in-test,18
112.5,10:29:26,in-test,19
114.52,10:29:27,in-test,20
116.36,10:29:28,in-test,21
118.0,10:29:29,in-test,22
119.5,10:29:30,in-test,23
120.84,10:29:31,in-test,24
122.08,10:29:32,in-test,25
123.22,10:29:33,in-test,26
124.25,10:29:34,in-test,27
125.14,10:29:35,in-test,28
125.2,10:29:36,in-test,29
125.26,10:29:37,in-test,30
126.12,10:29:38,in-test,31
126.94,10:29:39,in-test,32
127.74,10:29:40,in-test,33
128.46,10:29:41,in-test,34
129.11,10:29:42,in-test,35
129.76,10:29:43,in-test,36
130.32,10:29:44,in-test,37
130.59,10:29:45,in-test,38
130.85,10:29:46,in-test,39
131.02,10:29:47,in-test,40
131.29,10:29:48,in-test,41
131.51,10:29:49,in-test,42
131.7,10:29:50,in-test,43
131.82,10:29:51,in-test,44
131.93,10:29:52,in-test,45
132.06,10:29:53,in-test,46
132.17,10:29:54,in-test,47
132.14,10:29:55,in-test,48
132.14,10:29:56,in-test,49
132.14,10:29:57,in-test,50
132.08,10:29:58,in-test,51
132.13,10:29:59,in-test,52
132.19,10:30:00,in-test,53
132.0,10:30:01,in-test,54
131.84,10:30:02,in-test,55
131.67,10:30:03,in-test,56
131.43,10:30:04,in-test,57
131.24,10:30:05,in-test,58
131.05,10:30:06,in-test,59
131.12,10:30:07,in-test,60
132.32,10:30:08,in-test,61
132.22,10:30:09,in-test,62
133.22,10:30:10,in-test,63
132.72,10:30:11,in-test,64
132.17,10:30:12,in-test,65
131.62,10:30:13,in-test,66
132.52,10:30:14,in-test,67
132.1,10:30:15,in-test,68
133.08,10:30:16,in-test,69
132.78,10:30:17,in-test,70
132.75,10:30:18,in-test,71
132.7,10:30:19,in-test,72
132.83,10:30:20,in-test,73
133.37,10:30:21,in-test,74
133.93,10:30:22,in-test,75
134.48,10:30:23,in-test,76
135.05,10:30:24,in-test,77
134.57,10:30:25,in-test,78
134.1,10:30:26,in-test,79
133.65,10:30:27,in-test,80
133.22,10:30:28,in-test,81
132.8,10:30:29,in-test,82
132.4,10:30:30,in-test,83
132.03,10:30:31,in-test,84
131.7,10:30:32,in-test,85
131.4,10:30:33,in-test,86
131.12,10:30:34,in-test,87
130.88,10:30:35,in-test,88
131.05,10:30:36,in-test,89
131.22,10:30:37,in-test,90
130.93,10:30:38,in-test,91
130.63,10:30:39,in-test,92
130.32,10:30:40,in-test,93
130.0,10:30:41,in-test,94
129.68,10:30:42,in-test,95
129.35,10:30:43,in-test,96
129.03,10:30:44,in-test,97
128.9,10:30:45,in-test,98
128.77,10:30:46,in-test,99
128.7,10:30:47,in-test,100
128.57,10:30:48,in-test,101
128.47,10:30:49,in-test,102
128.38,10:30:50,in-test,103
128.37,10:30:51,in-test,104
128.35,10:30:52,in-test,105
128.32,10:30:53,in-test,106
128.3,10:30:54,in-test,107
128.38,10:30:55,in-test,108
128.43,10:30:56,in-test,109
128.47,10:30:57,in-test,110
128.53,10:30:58,in-test,111
128.5,10:30:59,in-test,112
128.47,10:31:00,in-test,113
128.67,10:31:01,in-test,114
128.87,10:31:02,in-test,115
129.08,10:31:03,in-test,116
129.38,10:31:04,in-test,117
129.65,10:31:05,in-test,118
129.92,10:31:06,in-test,119
130.17,10:31:07,in-test,120
130.38,10:31:08,in-test,121
130.65,10:31:09,in-test,122
130.95,10:31:10,in-test,123
131.23,10:31:11,in-test,124
131.53,10:31:12,in-test,125
131.92,10:31:13,in-test,126
132.3,10:31:14,in-test,127
132.62,10:31:15,in-test,128
132.95,10:31:16,in-test,129
133.23,10:31:17,in-test,130
133.43,10:31:18,in-test,131
133.63,10:31:19,in-test,132
133.83,10:31:20,in-test,133
134.0,10:31:21,in-test,134
134.15,10:31:22,in-test,135
134.3,10:31:23,in-test,136
134.43,10:31:24,in-test,137
134.52,10:31:25,in-test,138
134.58,10:31:26,in-test,139
134.63,10:31:27,in-test,140
134.63,10:31:28,in-test,141
134.62,10:31:29,in-test,142
134.57,10:31:30,in-test,143
134.48,10:31:31,in-test,144
134.37,10:31:32,in-test,145
134.22,10:31:33,in-test,146
134.03,10:31:34,in-test,147
133.82,10:31:35,in-test,148
133.57,10:31:36,in-test,149
133.32,10:31:37,in-test,150
133.07,10:31:38,in-test,151
132.82,10:31:39,in-test,152
132.57,10:31:40,in-test,153
132.33,10:31:41,in-test,154
132.12,10:31:42,in-test,155
131.9,10:31:43,in-test,156
131.68,10:31:44,in-test,157
131.45,10:31:45,in-test,158
131.2,10:31:46,in-test,159
130.95,10:31:47,in-test,160
130.73,10:31:48,in-test,161
130.48,10:31:49,in-test,162
130.23,10:31:50,in-test,163
129.95,10:31:51,in-test,164
129.68,10:31:52,in-test,165
129.38,10:31:53,in-test,166
129.12,10:31:54,in-test,167
128.9,10:31:55,in-test,168
128.7,10:31:56,in-test,169
128.52,10:31:57,in-test,170
128.35,10:31:58,in-test,171
128.2,10:31:59,in-test,172
128.08,10:32:00,in-test,173
127.95,10:32:01,in-test,174
127.78,10:32:02,in-test,175
127.63,10:32:03,in-test,176
127.43,10:32:04,in-test,177
127.25,10:32:05,in-test,178
127.32,10:32:06,in-test,179
127.42,10:32:07,in-test,180
127.52,10:32:08,in-test,181
127.63,10:32:09,in-test,182
127.73,10:32:10,in-test,183
127.82,10:32:11,in-test,184
127.87,10:32:12,in-test,185
127.85,10:32:13,in-test,186
127.85,10:32:14,in-test,187
127.93,10:32:15,in-test,188
126.82,10:32:16,in-test,189
125.72,10:32:17,in-test,190
124.7,10:32:18,in-test,191
123.72,10:32:19,in-test,192
122.72,10:32:20,in-test,193
121.73,10:32:21,in-test,194
120.77,10:32:22,in-test,195
119.8,10:32:23,in-test,196
118.85,10:32:24,in-test,197
117.92,10:32:25,in-test,198
117.02,10:32:26,in-test,199
116.13,10:32:27,in-test,200
115.3,10:32:28,in-test,201
114.48,10:32:29,in-test,202
113.63,10:32:30,in-test,203
112.83,10:32:31,in-test,204
112.0,10:32:32,in-test,205
111.17,10:32:33,in-test,206
110.37,10:32:34,in-test,207
